Complexity,Loss,Equation
1,6.435803e-5,"x0"
3,1.30016e-5,"x0 * 1.0181092"
5,1.1529269e-7,"(x2 * 0.010040484) + x0"
7,1.1526685e-7,"(x0 + (x2 * 0.010027464)) * 1.0000286"
9,1.08761576e-7,"(x2 * ((x8 * 0.00016643446) + 0.010061603)) + x0"
11,1.06235035e-7,"x0 + ((x2 * 0.010045432) + (x5 * (x6 * 0.00055855594)))"
13,1.0425309e-7,"((0.00016643446 * (x5 + (x8 * x2))) + x0) + (0.010061603 * x2)"
14,1.0369682e-7,"(((x2 * sin(x8)) + x5) * 0.00020781386) + (x0 + (x2 * 0.010084598))"
15,1.02173715e-7,"(x0 + (x2 * 0.010079274)) + ((x5 + (x2 * (x5 + x8))) * 0.00018965124)"
16,1.02002346e-7,"(x0 + (x2 * 0.010084598)) + ((((x8 + x5) * sin(x2)) + x5) * 0.00020781386)"
17,1.0040172e-7,"(x2 * 0.010078357) + (x0 + ((x5 + ((x8 + x5) * (x2 + x6))) * 0.00015608853))"
19,1.0029359e-7,"((x2 * 0.010079274) + x0) + ((x5 + (x2 * (x5 + (x8 + (x2 * 0.25942105))))) * 0.00018965124)"
20,9.9883984e-8,"(x2 * 0.010075163) + (x0 + ((x5 + ((x2 + x6) * (x5 + sin(x8 + x8)))) * 0.00014014497))"
