Complexity,Loss,Equation
1,0.0178,"x6"
2,0.016750172,"sin(x6)"
3,0.016745394,"x6 * 0.85147655"
4,0.016625222,"sin(x6) - -0.011178528"
5,0.016625153,"(x6 * 0.8403566) + 0.011205006"
6,0.015939202,"sin(x6 - (x7 * -0.17949368))"
8,0.015830105,"sin(x6 - ((x1 - 0.19403654) * x7))"
9,0.015567499,"sin(x6 - ((x7 * -0.21210794) / exp(x5)))"
10,0.0154304,"sin(x6 - (x7 * (-0.15113027 / (x5 + 0.8193771))))"
11,0.015299152,"sin(x6 - ((-0.16202192 / exp(x5 / 0.34726638)) * x7))"
12,0.015286328,"sin(x6 - (x7 * sin(-0.16084616 / exp(x5 * 3.24926))))"
13,0.015152142,"sin(x6 - ((x7 * -0.19984423) / exp((x4 + x5) / 0.3122335)))"
14,0.014898319,"sin(x6 - sin((x7 / exp((x5 + x4) / 0.19495413)) * -0.18433483))"
15,0.01483972,"sin(x6 - (x7 * (-0.20563164 / exp(((x5 + x4) / 0.20187436) + x6))))"
16,0.01480235,"sin(x6 - sin(x7 * (-0.20780104 / exp(x6 + ((x4 + x5) / 0.20098001)))))"
17,0.014798048,"sin(x6 - sin((-0.20629647 * x7) / exp(((x5 + sin(x4)) / 0.20123428) + x6)))"
18,0.014767484,"sin(x6 + (0.0061315633 - (x7 * sin(-0.20469832 / exp(((x4 + x5) / 0.19988695) + x6)))))"
19,0.0147631895,"sin(x6 + (0.0061315633 - (x7 * sin(-0.20469832 / exp(((sin(x4) + x5) / 0.19988695) + x6)))))"
