Complexity,Loss,Equation
1,4.9419494e-5,"x0"
3,9.354962e-6,"x0 / 0.98251945"
5,6.1946466e-8,"x0 - (x2 * -0.010045406)"
7,6.188346e-8,"(x0 * 1.0000515) - (x2 * -0.010021545)"
9,5.5607448e-8,"x0 - (((x8 * -0.00019705719) + -0.010044798) * x2)"
10,5.547635e-8,"x0 - (x2 * (-0.0098405 - (exp(x8) * 0.00017356608)))"
11,5.3275784e-8,"((x4 * x8) * -0.00038874912) + (x0 - (x2 * -0.01004609))"
12,5.3117187e-8,"(x0 - (sin(x4 * x8) * 0.000434782)) - (x2 * -0.010046059)"
13,5.2247128e-8,"x0 - ((((x8 - x7) * (x4 * 0.038918965)) - x2) * 0.010048672)"
14,5.2130556e-8,"x0 - ((((sin(x8) - x7) * (0.04363148 * x4)) - x2) * 0.010039295)"
15,5.0373863e-8,"x0 - ((((x8 + (x2 * x7)) * (x4 * 0.042462777)) - x2) * 0.010049067)"
17,4.7272533e-8,"(x0 + 8.1287305e-7) - (((((x4 * (x8 + 0.78773147)) - x5) * 0.036031123) - x2) * 0.009973571)"
