Complexity,Loss,Equation
1,0.21633808,"1.020149"
2,0.10133833,"sin(x1)"
3,7.912314e-5,"x1 + -0.011386094"
5,1.7503303e-6,"x1 + (x3 * 0.022443892)"
6,1.7500624e-6,"x1 + sin(x3 * 0.022445153)"
7,1.7063919e-6,"(x1 * 0.99978393) + (x3 * 0.022249427)"
9,1.469044e-6,"((x6 * 0.0051517016) + (x3 * 0.022557948)) + x1"
10,1.4688474e-6,"x1 + ((x6 * 0.0051507745) + sin(x3 * 0.022560118))"
11,1.2646813e-6,"((x3 * 0.022650992) + x1) + ((x6 + x7) * 0.0044778236)"
12,1.2645307e-6,"sin(x3 * 0.022652823) + (x1 + ((x7 + x6) * 0.0044774637))"
13,1.2642663e-6,"(x1 + (x6 * 0.00462814)) + ((x7 * 0.0043331264) + (x3 * 0.022650829))"
14,1.2642419e-6,"(x1 + (0.0044778236 * (x6 + x7))) + sin(sin(sin(0.022650992 * x3)))"
15,1.2447556e-6,"((x1 + ((x6 + x7) * 0.0044924994)) + sin(sin(x3 * 0.022356259))) - 0.00023506017"
17,1.2115428e-6,"((x7 * 0.0041521443) + x1) + ((x3 * ((0.004399781 * x6) * -1.2477226)) + (x3 * 0.022705764))"
