Complexity,Loss,Equation
1,0.0011616932,"x4"
3,0.0011613558,"x4 * 0.99941915"
5,0.00077322015,"x4 - (x5 * -0.019710073)"
7,0.0004622671,"(x4 - (x5 * -0.0356293)) * 0.97678924"
8,0.0004555706,"(x4 - tanh(x5 * -0.037769794)) * 0.97580844"
9,0.0004514527,"(x4 - tanh(tanh(x5 * -0.0396308))) * 0.97504926"
10,0.00044874958,"(x4 * 0.97445065) - (sin(x5 * -0.0921578) * 0.43667334)"
11,0.0004448192,"(x4 * 0.9742468) - (tanh(sin(x7) * x5) * 0.39921096)"
12,0.00044472615,"(x4 - (tanh(x5 * tanh(sin(x7))) * 0.41100043)) * 0.9742525"
13,0.00043640114,"(x4 - tanh((tanh(x5 * x6) + x5) * -0.038449723)) * 0.9773635"
14,0.0004294799,"(x4 - ((x5 + tanh((x7 + x6) * x5)) * -0.03450771)) * 0.9803631"
15,0.0004186186,"(x4 - tanh((tanh(x5 * (x7 + x6)) + x5) * -0.03704177)) * 0.9793224"
