Complexity,Loss,Equation
1,0.0012211814,"x4"
3,0.0012208086,"x4 * 0.99938947"
5,0.0007755066,"x4 + (x5 * 0.021111017)"
7,0.00043728255,"((x5 * 0.03733369) + x4) * 0.9760586"
8,0.00042988788,"(x4 + tanh(x5 * 0.0395567)) * 0.97509265"
9,0.00042563866,"(tanh(tanh(x5 * 0.041435078)) + x4) * 0.9743917"
10,0.00042399872,"((x4 * 1.7525043) + tanh(x5 * 0.0757703)) / 1.7996222"
12,0.00042151115,"(x4 + tanh(x5 * ((x3 * -0.0037846896) + 0.040806204))) * 0.9735365"
13,0.00041405167,"(x4 + tanh(tanh(x5 * ((x3 * -0.0048273816) + 0.043431338)))) * 0.97226506"
14,0.000410793,"(tanh(tanh(tanh(((x3 * -0.0054626665) + 0.0453481) * x5))) + x4) * 0.97150636"
15,0.00041054608,"tanh(tanh(tanh(sin(x5 * ((x3 * -0.0054290327) + 0.04448875))))) + (x4 * 0.97135174)"
