Complexity,Loss,Equation
1,0.025325486,"0.9334105"
2,0.00559426,"exp(x0)"
3,0.00459507,"x0 + 1.0012801"
5,0.004509089,"(x0 / 1.0069039) + 1.0007415"
6,0.004058743,"x0 + exp(3.6873247e-5 / x1)"
7,0.0029485247,"(0.00021446029 / x1) + (x0 + 0.9938376)"
8,0.0026538614,"(x0 + 0.9938376) + (0.00021446029 / abs(x1))"
9,0.0009965124,"x0 + (1.0005705 + ((3.7419377e-7 / x1) / x1))"
10,0.0009850153,"x0 + ((abs(-3.7404342e-7 / x1) / x1) + 1.000614)"
11,0.00068793696,"(((6.9025174e-10 / x1) / x1) / x1) + (x0 + 1.0010362)"
13,0.00068791927,"(((6.902517e-10 / (x1 + 7.595542e-9)) / x1) / x1) + (x0 + 1.0010362)"
15,0.00068770733,"(x0 + 1.0010362) + (((((6.9063316e-10 / x1) / x1) + 1.2738101e-7) / 1.0010362) / x1)"
16,0.0005935762,"x0 + (((abs(((0.037037026 / x1) + -3.4501257) * x0) / x1) * 0.00011134911) + 1.0006249)"
18,0.0005853132,"abs((((((0.037037026 / x1) + -3.4501257) * x0) * 0.00011141869) / x1) + 0.00011134911) + (x0 + 1.0006249)"
20,0.00058483856,"abs((((0.037037026 / (x1 / 1.0006249)) + -3.4501257) * (x0 * (0.00011134911 / x1))) + 0.00011134911) + (x0 + 1.0006249)"
