Complexity,Loss,Equation
1,0.26240146,"1.0313932"
3,0.21470283,"x1 + 1.194734"
4,0.17496824,"abs(x1) + 0.86581004"
5,0.16320655,"x1 + exp(abs(x1))"
6,0.08626137,"abs(x1 + 0.28939095) + 0.90511495"
8,0.018202022,"(x0 * abs(0.5422062 / x0)) - -1.5709655"
9,0.018202018,"exp((abs(-0.3594104 / x0) * x0) - -0.3875762)"
10,0.01503754,"(x0 * (abs(0.5412739 / x0) + x2)) + 1.5720656"
11,0.014524239,"exp(((x2 + abs(-0.35874674 / x0)) * x0) - -0.38980323)"
12,0.013608298,"(((abs(0.3375898 / x0) + x2) * x0) + 0.9822443) * 1.6020298"
13,0.0128635345,"exp((((x2 * 1.6553937) + abs(0.35808223 / x0)) * x0) + 0.3907117)"
15,0.012586611,"exp((x0 * ((x2 + x2) + abs((0.3582514 / x0) + 0.08084964))) - -0.38701388)"
18,0.012511478,"exp(abs(-0.38750336 - (x0 * ((x2 + x2) + abs(((0.6908138 / x0) + 0.12640834) * 0.51812696)))))"
20,0.012482338,"exp(((((x2 + (x2 + abs((0.42989802 / x0) + x2))) + abs(x2)) * 0.8314212) * x0) - -0.39048293)"
