Complexity,Loss,Equation
1,0.5891258,"1.0000019"
2,0.53960633,"exp(x0)"
3,0.53111905,"x0 + 1.1605362"
4,0.39955977,"abs(x1) + 0.92961556"
5,0.3447219,"(x0 / 0.20914428) + 1.364334"
6,0.31685075,"exp(x0) + sqrt(abs(x1))"
7,0.2913323,"(sqrt(abs(x1)) + 0.85807997) + x0"
8,0.26172727,"(sqrt(abs(x1)) + 0.8459147) * exp(x0)"
9,0.23106183,"sqrt(((x0 / 0.07573226) + abs(x3)) + 1.8037103)"
10,0.22827117,"((x0 / 0.24468778) + abs(x3 / 2.1788979)) + 1.1829616"
11,0.22378653,"sqrt(((abs(x3) * 1.2800838) + 1.7010018) + (x0 / 0.07858063))"
12,0.21563473,"(((x0 / 0.25020063) + sqrt(sqrt(abs(x1)))) + 0.79368037) + x2"
13,0.200345,"sqrt(abs(x0 + (x1 / 1.411872))) + ((x0 / 0.28024685) + 0.9644674)"
15,0.19650196,"(x2 + (sqrt(abs(x1 / 1.676443)) + (x0 / 0.20065646))) + (x2 + 1.0752293)"
16,0.18694948,"abs(sqrt(abs(x1 / -1.6778724)) + (x2 + x2)) + ((x0 / 0.2033668) + 1.0708338)"
18,0.17722248,"sqrt((x0 / 0.07316105) + (sqrt(abs(((x1 / (x1 + 0.627391)) - x0) + x3)) + 1.5080408))"
20,0.17288315,"sqrt((x0 / 0.07620739) + (sqrt(abs((x3 - x0) + ((x1 / (0.62668204 + x1)) - x1))) + 1.5588981))"
