Complexity,Loss,Equation
1,0.5920621,"1.0331008"
3,0.49356374,"x1 + 1.1951336"
4,0.4454517,"exp(x1) + 0.18255007"
5,0.38607928,"exp(abs(x1 - -0.19385849))"
6,0.32862377,"abs(0.4266036 - x3) + 0.898452"
7,0.28847936,"sqrt(abs((x1 * 8.287357) + 2.4203727))"
9,0.26524803,"sqrt(abs((x1 * 6.782419) + 1.8278941)) + 0.1902403"
10,0.2652376,"sqrt(abs((6.782419 * x1) + abs(-1.8290265))) + 0.1902403"
11,0.23901153,"sqrt(abs(((12.2078085 - exp(abs(x3))) * x1) + 2.8563406))"
12,0.21123643,"sqrt(abs(((10.884067 - exp(x1 * x1)) * x1) + 2.6787193))"
14,0.20508784,"sqrt(x2 + abs((x1 * (10.884067 - exp(x1 * x1))) + 2.6787193))"
15,0.2010208,"sqrt(abs(((x1 * (10.92704 - exp(x1 * x1))) + abs(x2)) + 2.6510265))"
16,0.2008688,"sqrt(abs(((10.219708 - abs(((x1 - x3) * x1) * x3)) * x1) + 2.7290702))"
17,0.19596769,"sqrt(abs(((8.7023115 - ((x3 * (x1 * x1)) * x3)) * x1) + 2.324581) * 1.2005867)"
18,0.18809518,"sqrt(abs(((x1 * 10.940287) + 2.607054) - (x1 / abs(((x1 * x1) - 2.330773) * 0.25597647))))"
19,0.18181835,"sqrt(abs(((x1 * (8.759927 - (((x3 * x1) * x3) * x1))) + 2.3235636) * (1.15784 - x0)))"
20,0.17347266,"sqrt(abs(abs(2.70465 + (x1 * (10.109606 - abs(x1 * (abs(1.5789566) * ((x0 / 0.02762346) * x3))))))))"
