Complexity,Loss,Equation
1,0.6260885,"1.5866859"
2,0.57511973,"exp(x0)"
3,0.5641523,"x0 + 1.2605671"
4,0.4132809,"abs(x1) + 0.9310399"
5,0.36571848,"abs(x1) + exp(x0)"
6,0.33434224,"exp(x0) + sqrt(abs(x1))"
7,0.31185204,"0.8669741 + (sqrt(abs(x1)) + x0)"
8,0.28154972,"exp(x0 / 0.39373633) + sqrt(abs(x1))"
9,0.26289257,"exp(x0 / 0.28380787) + abs(x3 / 1.7917715)"
10,0.23764105,"sqrt(abs(x1 * 0.62667936)) + exp(x0 / 0.33777595)"
12,0.22132088,"(sqrt(abs(x1 / -1.8130268)) + exp(x0 / 0.27295217)) + x2"
13,0.220215,"abs(x2 + sqrt(abs(x1 / -1.811952))) + exp(x0 / 0.2728952)"
14,0.21813154,"exp(x0 / 0.27988192) + (x2 + (sqrt(abs(0.62798923 * x1)) - 0.020208294))"
15,0.21666126,"abs(0.020857528 - (x2 + sqrt(abs(x1 * 0.6277794)))) + exp(x0 / 0.2796021)"
16,0.21563339,"x2 + ((x2 + (sqrt(abs(x1 / -1.6032307)) + exp(x0 / 0.28721446))) + x0)"
17,0.20793487,"(exp(x0 / 0.30384484) + abs((x2 * 1.8833525) + sqrt(abs(x1 * -0.6012964)))) + x0"
20,0.20605686,"exp(x0 / 0.2934934) + (abs((exp(x0) * (x2 + x2)) + sqrt(abs(x1 / 1.5577582))) + x0)"
