Complexity,Loss,Equation
1,0.9113928,"1.0342147"
2,0.8080171,"exp(x1)"
3,0.67075354,"1.5054911 - x3"
4,0.6684023,"exp(x1) + 0.18264757"
5,0.6255854,"exp(abs(x1 + 0.19385439))"
6,0.5135991,"exp(sqrt(abs(x1 + 0.16427258)))"
7,0.47301382,"exp(sqrt(sqrt(abs(x1) + x1)))"
8,0.4080298,"2.0851111 - ((x3 * 1.0563921) / abs(x3))"
11,0.40062883,"sqrt((sqrt(sqrt(abs(x1) + x1)) * 8.253792) + 1.0616322)"
12,0.3936194,"sqrt((sqrt(sqrt(sqrt(x1 + abs(x1)))) * 8.791373) + 1.0604858)"
13,0.39260277,"exp(sqrt(sqrt(sqrt(sqrt(abs(x1) + x1)))) * 1.1267495) - -0.030126572"
14,0.36171243,"sqrt(exp(-0.10229106 - x1) + (sqrt(sqrt(x1 + abs(x1))) * 8.8653345))"
15,0.35885504,"sqrt((sqrt(sqrt(sqrt(abs(x1) + x1))) * 9.376941) + exp(x0 - x1))"
16,0.35565746,"sqrt((sqrt(sqrt(abs(x1) + x1)) * 8.954305) + exp(x0 - x1)) - 0.022199612"
17,0.35248724,"sqrt((sqrt(sqrt(sqrt(x1 + abs(x1)))) * 9.376941) + exp(x0 - x1)) + -0.028601436"
19,0.34583473,"sqrt((sqrt(sqrt(sqrt(sqrt(x1 + abs(x1))))) * 7.8288364) + exp(abs(x1 - (x0 * 1.5303187))))"
20,0.3455311,"sqrt((sqrt(sqrt(sqrt(sqrt(sqrt(abs(x1) + x1))))) * 7.82909) + exp(abs(x1 - (x0 * 1.5501498))))"
