Complexity,Loss,Equation
1,0.6260885,"1.5387653"
2,0.57511973,"exp(x0)"
3,0.5641523,"x0 - -1.4685445"
4,0.4132809,"abs(x1) + 0.9309522"
5,0.36571848,"exp(x0) + abs(x1)"
6,0.33434224,"exp(x0) + sqrt(abs(x1))"
7,0.31185204,"x0 + (sqrt(abs(x1)) + 0.8590935)"
8,0.26728436,"(x0 - -0.3247785) * (abs(x3) + 3.7114093)"
9,0.26222673,"(0.7666382 - (x2 / 0.28763965)) + sqrt(abs(x3))"
10,0.23763977,"exp(x0 * 2.958108) + sqrt(abs(x1) * 0.62601554)"
11,0.23763655,"abs(exp(x0 * 2.960757) + sqrt(abs(x1 * 0.625899)))"
12,0.22874704,"exp(x0 * 3.0517004) + sqrt(abs((x0 + x1) * 0.5858598))"
14,0.22528096,"sqrt(abs(sqrt(abs(x1)) + -0.17596191)) + ((x0 * 1.6113511) + exp(x0))"
15,0.21809241,"(abs(exp(x0 * 3.641709) + sqrt(abs(x1) * 0.6617566)) * 0.97732025) + x2"
18,0.2132808,"exp(3.3596551 * x0) + sqrt(abs(exp(-0.31984633 - abs(x0 * 4.7561316)) * (x0 + x1)))"
19,0.20914936,"abs(sqrt(abs((x1 + x0) * exp(-0.09634004 - (abs(x0) * 7.0650105))))) + exp(x0 * 3.4544842)"
