Complexity,Loss,Equation
1,0.6260885,"1.6433185"
2,0.57511973,"exp(x0)"
3,0.5641523,"x0 + 1.3594459"
4,0.4132809,"abs(x1) + 0.9310056"
5,0.36571848,"abs(x1) + exp(x0)"
6,0.33434224,"sqrt(abs(x1)) + exp(x0)"
7,0.31185204,"(x0 + 0.861763) + sqrt(abs(x1))"
8,0.28155452,"sqrt(abs(x1)) + exp(x0 / 0.3939657)"
9,0.26289126,"(abs(x3) * 0.5590979) + exp(x0 * 3.5258515)"
10,0.23987895,"(abs(x3 * 0.4738445) + (x0 * 4.234736)) + 1.1909866"
12,0.21734887,"(x0 + 1.4599551) + (abs(x1) - abs(abs(x1) + -0.51499367))"
13,0.20446883,"x0 + exp(abs(x1) + (0.3141179 - abs(abs(x1) + -0.3691689)))"
15,0.19579096,"exp(x0 + ((abs(x1) - abs((x0 + -0.37299523) + abs(x1))) + 0.38580337))"
16,0.19579057,"abs(exp((abs(x1) + x0) + (0.38582435 - abs((x0 + abs(x1)) + -0.37297776))))"
17,0.16740468,"exp(((x0 - abs(((abs(x1) + -0.37911195) + x0) * 1.1484799)) + 0.45770484) + abs(x1))"
18,0.16738704,"abs(exp((0.4568711 - abs((abs(x1) + (x0 + -0.38026953)) * 1.1492465)) + (x0 + abs(x1))))"
19,0.16476427,"exp(x0 + (x0 + ((abs(x1) + 0.35231936) - abs((abs(x1) + -0.32429782) + x0)))) + x2"
20,0.16476299,"abs(exp((x0 + ((x0 + abs(x1)) + 0.35228777)) - abs((abs(x1) + -0.32430387) + x0)) + x2)"
