Complexity,Loss,Equation
1,1.2895222,"2.5591617"
2,1.2342777,"exp(x1)"
3,0.950324,"1.9831675 - x3"
5,0.8426603,"exp(1.601686 - exp(x3))"
6,0.71816397,"(x1 / abs(x1)) + 2.1207101"
7,0.6494108,"exp(x1 / abs(x1)) + 0.6651082"
8,0.62936753,"(abs(x1 * 1.3830695) / x1) + 2.4135861"
9,0.619706,"exp(1.4744294 - abs(0.14179757 / (x1 + 0.2637194)))"
11,0.5790997,"exp(1.3880066 - abs((-0.13465501 / (x1 + 0.25706044)) + 0.11267839))"
12,0.54174393,"exp(exp(0.42181587 - abs(5.6037064 / ((x1 + 0.25140843) / x0))))"
14,0.48485583,"exp(exp(0.4184539 - abs((-5.9370112 / ((x1 + 0.27679762) / x0)) + 0.13838208)))"
15,0.48377615,"abs(exp(exp(0.42346656 - abs((-6.229756 / ((x1 + 0.28600186) / x0)) + 0.14004458))))"
16,0.45028737,"exp(exp(0.4041772 - abs((x3 * -0.113437325) + (-6.1441507 / ((x1 + 0.2613811) / x0)))))"
18,0.44957826,"exp(exp(0.43469146 - abs((-2.091807 / (((x1 + 0.28758362) * 0.27612567) / x0)) - (x1 * -0.20902789))))"
19,0.42795613,"exp(exp(0.43551832 - abs((abs(x1) * -0.21042295) - (-1.9089475 / (((x1 + 0.2914226) * 0.24959607) / x0)))))"
20,0.42076465,"exp(exp(x2 + (0.45174208 - abs((x1 * -0.2117607) - (-1.9257464 / ((0.2559684 / x0) * (x1 + 0.2788786)))))))"
