Complexity,Loss,Equation
1,0.6260885,"1.4935917"
2,0.57511973,"exp(x0)"
3,0.5641523,"x0 - -1.9472469"
4,0.4132809,"abs(x1) + 0.93099034"
5,0.36571848,"exp(x0) + abs(x1)"
6,0.33434224,"sqrt(abs(x1)) + exp(x0)"
7,0.31185204,"sqrt(abs(x1)) + (x0 - -0.8629552)"
8,0.2673361,"(abs(x3) + 3.781619) * (x0 + 0.31988487)"
9,0.24953175,"sqrt((x0 / 0.07409022) + (abs(x3) - -1.8349439))"
10,0.2430542,"((abs(x3) + 3.3800802) * (x0 + 0.5550266)) - 0.75247186"
12,0.23569384,"((abs(x3 + 0.12863907) + 3.7095861) * (x0 + 0.5371201)) - 0.8745938"
14,0.230038,"((abs(x3 + (x2 + 0.29711202)) + 4.14101) * (x0 + 0.53121793)) - 1.1452236"
16,0.21391536,"((x0 + (x0 + 0.1660659)) + exp(x3 - 1.2271283)) * ((2.851329 - x3) + x2)"
18,0.20664091,"(((x0 + 0.3645407) + (exp(x3 - 0.95724285) + x0)) * ((2.935309 - x3) + x2)) + -0.89784753"
20,0.20637503,"((((x0 + (exp(x3 - 0.92617136) + 0.39708343)) + x0) * (x2 + (2.9451199 - x3))) + -1.0293108) - 0.0070453472"
