Complexity,Loss,Equation
1,0.6260885,"1.4765595"
2,0.57511973,"exp(x0)"
3,0.5641523,"x0 + 1.2537826"
4,0.4132809,"abs(x1) + 0.93102086"
5,0.36571848,"exp(x0) + abs(x1)"
6,0.33434224,"exp(x0) + sqrt(abs(x1))"
7,0.31185204,"x0 + (sqrt(abs(x1)) + 0.8621883)"
8,0.28154418,"sqrt(abs(x1)) + exp(x0 / 0.3934781)"
9,0.26288962,"abs(x3 * 0.55995655) + exp(x0 / 0.28343213)"
10,0.23764421,"sqrt(abs(x1 / 1.6015891)) + exp(x0 / 0.3396671)"
12,0.22131775,"(x2 + sqrt(abs(x1 / -1.8142041))) + exp(x0 / 0.2729)"
13,0.22020765,"abs(x2 + sqrt(abs(x1 / -1.8142041))) + exp(x0 / 0.2729)"
14,0.21812166,"sqrt(abs(x1 / -1.6148403)) + ((x2 + -0.0187108) + exp(x0 / 0.27956164))"
15,0.21667065,"abs((x2 + sqrt(abs(x1 / -1.6144606))) + -0.018838555) + exp(x0 / 0.27960685)"
17,0.20990959,"(sqrt(abs(x1 / (abs(x0 / 0.18654667) + 1.3362223))) + x2) + exp(x0 / 0.26511604)"
18,0.20798089,"abs(x2 + sqrt(abs(x1 / (abs(x0 / -0.16167498) + 1.2744671)))) + exp(x0 / 0.26670575)"
19,0.20787442,"exp(x0 / 0.26456726) + abs(x2 + sqrt(abs(x1 / abs(abs(x0 / 0.13963814) + 1.2157743))))"
