Complexity,Loss,Equation
1,0.6260885,"1.4476497"
2,0.57511973,"exp(x0)"
3,0.5641523,"x0 + 1.7118268"
4,0.4132809,"abs(x1) + 0.9309751"
5,0.36571848,"exp(x0) + abs(x1)"
6,0.33434224,"exp(x0) + sqrt(abs(x1))"
7,0.31185204,"(sqrt(abs(x1)) + x0) + 0.86058724"
8,0.2801807,"exp(x0) * (sqrt(abs(x1)) + 0.85347927)"
9,0.26289722,"(abs(x3) * 0.557499) + exp(x0 * 3.5220037)"
10,0.2399011,"(abs(x3 * 0.4715237) + (x0 * 4.2304587)) + 1.1918747"
11,0.23381937,"exp(x0 * 3.2447832) + abs(sqrt(abs(x1)) + -0.29140708)"
12,0.23029885,"(exp(x2) + (x0 * 3.6724517)) + sqrt(abs(x1 * 0.68800867))"
13,0.2290164,"abs((sqrt(abs(x1)) + x0) + -0.20244873) + exp(x0 * 2.6225176)"
14,0.22278325,"sqrt(abs(sqrt(abs(x1)) + -0.16940585)) + exp((x0 * 2.5671892) + -0.04522633)"
16,0.22154754,"(x0 + x0) + (sqrt(abs((abs(x1) + x0) * -0.70181215)) + (x0 - -0.978897))"
17,0.21710186,"abs((sqrt(abs(x1 * -0.60648865)) + exp((x0 * 2.7288365) + (x2 - -0.49474472))) + -0.60540384)"
18,0.20933904,"(sqrt(abs(((sqrt(abs(x1)) + -0.122417614) + x0) + x2)) + exp(x0 * 2.2386048)) + -0.05741911"
19,0.204908,"-0.057335652 + (exp(2.2386076 * x0) + sqrt(abs(x0 + abs(x2 + (sqrt(abs(x1)) + -0.12271163)))))"
20,0.20490779,"abs((sqrt(abs(x0 + abs(sqrt(abs(x1)) + (x2 + -0.122710384)))) + exp(x0 * 2.2387636)) + -0.0573173)"
