Complexity,Loss,Equation
1,0.7916506,"1.9028682"
3,0.72213274,"x0 + 1.955451"
4,0.6122073,"abs(x3) + 0.90225065"
5,0.5573008,"(x0 * 4.936724) + 1.3905332"
6,0.5208368,"sqrt(abs(x1)) + exp(x0)"
7,0.5081409,"x0 + (sqrt(abs(x1)) + 0.88446814)"
8,0.4398836,"1.9999355 - exp(x1 * (x3 / 0.053161096))"
10,0.39527887,"x0 + (2.0111167 - exp(x3 * (x1 / 0.07679257)))"
11,0.37990066,"(x0 + 1.9803591) - abs(exp((x1 * x1) / -0.037147827))"
14,0.35123172,"sqrt(exp(1.3330116 - exp(((x3 * x1) - x0) / 0.020315804)) - -0.86413753)"
15,0.3433676,"sqrt(exp(2.3331726 - exp(exp(((x1 * x3) - x0) / 0.0371064))) - -0.85614693)"
16,0.32555875,"sqrt(x1 + (exp(1.4962995 - exp(((x1 * x3) - x0) / 0.0037495214)) - -0.8285953))"
17,0.31627846,"sqrt(x1 + (exp(2.5015507 - exp(exp(((x1 * x3) - x0) / 0.06353992))) - -0.8179334))"
18,0.31082663,"sqrt((x1 + exp(1.4962995 - exp(((x3 * (-0.16919038 * x3)) - x0) / 0.0037495214))) - -0.8285953)"
