Complexity,Loss,Equation
1,1.391559,"4.002675"
3,1.2638667,"2.7625303 - x3"
4,1.2023501,"4.436858 - exp(x3)"
5,1.202349,"4.436677 - abs(exp(x3))"
6,0.99117005,"2.8385646 - (x3 / abs(x1))"
7,0.89357734,"abs(2.8080027 - (x3 / abs(x1)))"
8,0.8554881,"2.686982 - ((abs(x3) / x3) * 1.6552348)"
9,0.85045356,"exp(1.197958 - exp(x3 * 44.40507)) + 1.0291098"
10,0.81562054,"2.708489 - (abs(x3 * 1.6487705) / (x3 - 0.0051944605))"
11,0.7593506,"exp(1.1979799 - exp((x3 + -0.08751265) * 43.906666)) + 1.0291256"
13,0.73863834,"exp(1.225297 - (x0 + exp((x3 + -0.08346604) * 43.906776))) + 1.0293413"
15,0.7210022,"exp(((x3 * x0) - exp(43.905174 * (x3 + -0.07111578))) + 1.2625551) + 1.0661935"
17,0.7042405,"exp(((x0 * (x3 * x1)) + 1.2683095) - exp((x3 + -0.108481854) * 22.437304)) + 1.062119"
19,0.679815,"exp(1.2473366 - exp((((x3 + x3) + -0.21596523) * 4.562384) + ((x3 * x3) * 3.9456182))) + 1.0098956"
20,0.6624453,"1.0661935 + exp(((x3 * (x0 * abs(x3))) - exp((x3 + -0.07111578) * 43.905174)) + (1.2625551 - x2))"
