Complexity,Loss,Equation
1,0.8220974,"1.910757"
3,0.7527062,"x0 + 1.9579757"
4,0.6567306,"abs(x3) + 0.90225804"
5,0.59859043,"(x0 + 0.2816704) * 4.9417295"
6,0.5628794,"exp(x0) + sqrt(abs(x1))"
7,0.55202705,"sqrt(abs(x1)) + (x0 - -0.89666367)"
8,0.5038292,"(x0 / (abs(x0) * 1.6766104)) + 1.5628283"
9,0.4791073,"sqrt(exp(sqrt(abs(x3)))) + (x0 / 0.25041708)"
10,0.46660015,"(x0 / 0.2301213) + (abs(x3 * 0.47389546) + 1.20195)"
11,0.46487927,"sqrt(abs(x3 * 1.6421965) + 1.3339585) + (x0 / 0.24189135)"
12,0.46311292,"exp(x0 / 0.3509379) + sqrt(abs((x1 + -0.05043338) * 0.6360866))"
13,0.45854303,"abs(exp(x0 * 2.7435231) + sqrt(abs(0.17658605 - sqrt(abs(x1)))))"
14,0.45166245,"sqrt(abs(x1 + -0.03990242)) + exp(x0 / ((x2 * x1) + 0.3730661))"
15,0.44897553,"sqrt(abs(x1 + -0.040766172)) + exp(x0 / abs((x2 * x1) + 0.3618633))"
16,0.44889054,"abs(sqrt(abs(x1 + -0.040605485)) + exp(x0 / abs((x2 * x1) + 0.36130807)))"
17,0.43444562,"(sqrt(abs(0.18280952 - sqrt(abs(x1)))) + x0) + (exp(x0) - (x2 / exp(x3)))"
18,0.43031633,"sqrt(abs(sqrt(abs(x1)) - 0.18896681)) + ((x0 + x0) - ((x2 / exp(x3)) + -0.9705627))"
19,0.42356938,"x0 + (abs((x0 - (x2 / exp(x3))) + sqrt(abs(0.17682026 - sqrt(abs(x1))))) + 0.94890505)"
20,0.42338818,"abs(sqrt(abs(sqrt(abs(x1)) - 0.17682026)) + (x0 - (x2 / exp(x3)))) + (exp(x0) * 0.94890505)"
