Complexity,Loss,Equation
1,1.4044658,"4.33816"
3,1.3423274,"x1 + 3.3959615"
4,1.2550864,"4.6491 - exp(x3)"
6,1.1781313,"4.8366423 - abs(x3 + 1.3573642)"
7,1.0803013,"3.400898 - (x3 * (x3 - -2.3983784))"
8,0.97255296,"5.332289 - abs((x0 / 0.028651655) - 1.4779624)"
10,0.94078434,"abs((x3 * (x3 - -2.225656)) - 2.190425) * 1.4641263"
12,0.9013216,"abs(((x0 - x3) + 0.7649777) * (x3 - -2.9567)) * 1.4235806"
13,0.9010797,"abs((abs(2.6022499 - (x3 * (x3 - -2.3002167))) * 1.6372203) - 1.280356)"
14,0.8679093,"abs(3.2354405 - (((x3 - (x0 / 0.31055582)) * (x3 - -2.234637)) * 1.3093252))"
16,0.78201324,"(4.0313864 - abs(((1.0295866 / ((x1 * 9.542322) + 0.97990507)) - x3) + -1.1946473)) / 0.7709595"
17,0.782007,"abs(4.0280333 - abs(((1.0379133 / ((x1 * 9.539546) + 0.97900003)) - x3) + -1.1757268)) * 1.2980847"
