Complexity,Loss,Equation
1,0.8234827,"1.9027842"
3,0.75674933,"x0 + 1.9565477"
4,0.6741209,"abs(x1) + 0.9361419"
5,0.5994792,"(x0 / 0.20287643) + 1.3910359"
6,0.57419324,"sqrt(abs(x1)) + exp(x0)"
7,0.45723158,"(x1 / (x1 + -0.13455264)) - -1.2213999"
9,0.39980587,"(x1 / (x0 + (-0.15073726 + x1))) - -1.1106809"
11,0.387079,"(x1 / ((x0 * 0.8101811) + (x1 - 0.1479226))) - -1.1226021"
12,0.37986204,"abs(-1.0830499 - (x1 / (x1 + (x0 + -0.23784107)))) - x2"
13,0.37018192,"((x1 / (((x1 + -0.1558458) / 0.8702547) + x0)) - -1.1272409) - x2"
15,0.36907518,"(((x1 / ((x1 + (x0 * 0.8632186)) + -0.15533805)) / 1.1360539) - -1.1229876) - x2"
16,0.36762416,"((x0 - abs(x0)) + (x1 / (((x1 + -0.1550872) * 1.1486323) + x0))) - -1.224959"
18,0.35806426,"(x0 * 1.3436861) + (((x1 / (((x1 + -0.1544901) * 1.165221) + x0)) - abs(x0)) - -1.2376072)"
