Complexity,Loss,Equation
1,0.8494814,"1.9868281"
3,0.78938085,"x0 + 1.9660769"
4,0.7485624,"abs(x3) + 0.92086506"
5,0.6993272,"(x0 * 4.8498106) - -1.4087912"
6,0.65524805,"exp(x0) + sqrt(abs(x1))"
7,0.6519795,"sqrt(abs(x1)) + (x0 + 0.9152166)"
8,0.60693365,"exp(x0 * 2.5428321) + sqrt(abs(x1))"
9,0.58910936,"sqrt(abs(x3) + ((x0 * 12.415217) + 1.8145928))"
10,0.58302224,"((x0 * 4.2912536) + 1.2201544) + abs(x3 / 2.1545537)"
11,0.5695981,"sqrt((sqrt(sqrt(abs(x1 + -0.02618163))) + x0) * 4.4050026)"
13,0.56362665,"(sqrt(sqrt(abs(0.02744018 - x1))) + -1.5105815) + exp(x0 + 0.88530135)"
14,0.5537697,"x0 + (exp(x0) + sqrt(abs(sqrt(abs(x1 - 0.031932227)) + x0)))"
16,0.5409989,"((sqrt(abs(x0 + sqrt(abs(x1 + -0.031170543)))) + exp(x0)) * 0.9509572) + x0"
18,0.540154,"0.9509572 * (abs(abs(sqrt(abs(sqrt(abs(x1 + -0.031170543)) + x0)) + x0)) + exp(x0))"
19,0.5400606,"abs(x0 + sqrt(abs(sqrt(abs(x1 + -0.031170543)) + x0))) + (0.9509572 * (x0 + exp(-0.031170543)))"
