Complexity,Loss,Equation
1,1.3818197,"4.315282"
3,1.2970374,"3.111981 - x3"
4,1.228215,"4.6405563 - exp(x3)"
6,1.0200052,"3.1559715 - (x3 / abs(x1))"
7,0.9456883,"abs(2.9318578 - (x3 / abs(x1)))"
8,0.9225498,"2.8179412 - (x3 / abs(x3 / -1.785594))"
9,0.9129789,"abs(2.9978724 - (x3 / (abs(x1) - -0.004183974)))"
10,0.8385685,"exp(exp(0.4201801 - (exp(x1 / -0.056566212) * x3)))"
12,0.80742806,"exp(exp((x3 * (x0 - exp(x1 / -0.018294577))) + 0.45757467))"
13,0.8004982,"exp(exp(((abs(x0) - exp(x1 / -0.018158045)) * x3) + 0.4716955))"
14,0.77497774,"exp(exp((x0 + ((x0 - exp(x1 / -0.022129899)) * x3)) + 0.4430271))"
15,0.7441064,"exp(exp(0.5595266 - abs((exp(exp(abs(x3 + 1.5954461))) * 0.030875735) * x1)))"
16,0.7440564,"exp(sqrt(exp(1.1222404 - (abs(x1) * (exp(exp(abs(x3 + 1.5927281))) * 0.06279034)))))"
17,0.71975905,"exp(exp(0.5625391 - (0.030901479 * (exp(exp(abs((x3 - x0) + 1.5994902))) * abs(x1)))))"
18,0.7179476,"sqrt(exp(exp(1.2480376 - abs((x1 * -0.026895817) * exp(exp(abs((x2 + x3) + 1.6151344)))))))"
19,0.71726793,"abs(exp(sqrt(exp(1.097442 - abs((x1 * 0.05090054) * exp(exp(abs((x2 + x3) + 1.6234378))))))))"
20,0.6875625,"exp(sqrt(exp(0.9953151 - abs(exp(exp(abs(x2 + (x3 + 1.6797479)))) * ((x2 + x0) * x1)))))"
