Complexity,Loss,Equation
1,1.4225605,"4.431544"
3,1.3869483,"3.277585 - x3"
4,1.2935631,"5.024581 - exp(x3)"
6,1.0667317,"3.2122476 - (x3 / abs(x1))"
7,1.0113865,"abs(3.1702254 - (x3 / abs(x1)))"
8,1.0012122,"2.9437335 - (x3 / abs(x3 * 0.5233518))"
11,0.98829633,"(2.942078 - ((x3 * 1.9707618) / abs(x3))) / exp(x0)"
12,0.89352244,"exp(exp(((x3 - 0.157083) * -0.30136815) / abs(-0.1522827 - x1)))"
13,0.8702537,"exp(sqrt(exp((-0.60855603 / abs(-0.16041426 - x1)) * (x3 - 0.19822039))))"
15,0.83922267,"exp(x2 + sqrt(exp((x3 - 0.19313836) * (-0.668639 / abs(-0.1610219 - x1)))))"
16,0.81767064,"exp(sqrt(exp((x3 - 0.18818583) * (abs(x0) - abs(0.68726444 / (-0.16263592 - x1))))))"
17,0.8072382,"exp(sqrt(exp((((x3 * x2) - 0.68726444) * (x3 - 0.18818583)) / abs(x1 - -0.16263592))))"
18,0.7791563,"exp(sqrt(exp((x3 - 0.18818583) * (abs(x3 * x0) - abs(0.68726444 / (-0.16263592 - x1))))))"
