Complexity,Loss,Equation
1,0.95055264,"2.0374415"
3,0.891898,"x0 + 1.9677833"
4,0.8636733,"abs(x3) + 0.92147124"
5,0.8151723,"(x0 * 5.0806985) + 1.4361755"
6,0.77161956,"sqrt(abs(x1)) + exp(x0)"
7,0.578427,"(x1 / (x1 - 0.14794025)) + 1.2274191"
9,0.56214476,"(x1 / (x1 + (x0 - 0.16854064))) + 1.1315895"
11,0.55798185,"((1.078268 / (1.2435354 - (0.18879524 / x1))) + x0) + 1.2308484"
12,0.52843684,"((x0 + x3) / (abs(0.022391845 / x1) - x1)) + 0.9801255"
13,0.5161798,"((x0 + x3) / (abs(0.022391845 / x1) - x1)) + exp(x0)"
14,0.5075483,"exp(x0) + abs(x3 / ((x1 - abs(-0.025064385 / x1)) + x0))"
15,0.50395525,"((x3 + x0) / ((0.021971818 / abs(x1)) - x1)) + exp(x3 * x0)"
16,0.48918322,"exp(x0) + abs(x3 / ((x1 - (x0 * -1.689729)) - abs(x0 / x1)))"
17,0.480362,"abs(((x3 * -1.1652058) / ((x1 - (x0 * -1.9400364)) - abs(x0 / x1))) + 0.9188152)"
18,0.4794476,"abs((x3 * (-1.1652058 / ((x1 - (x0 * -1.9400364)) - abs(x0 / x1)))) + exp(x0))"
19,0.46309766,"abs((x0 + x3) * (-1.1652627 / ((x1 - (x0 * -1.7384924)) - abs(x0 / x1)))) + 0.87227994"
20,0.44615293,"(((x0 + abs(x3)) * -1.2531506) / ((abs(x0) * -2.278246) - abs((x0 / x1) - x1))) + 0.9224937"
