Complexity,Loss,Equation
1,0.9511824,"2.1174555"
3,0.90658504,"x0 + 1.974979"
4,0.8954169,"exp(x0 + 0.6135184)"
5,0.8510096,"exp(x0) + abs(x3)"
6,0.77794224,"(x0 / abs(x0)) + 1.9662994"
8,0.7605078,"(abs(x0) / x0) + (x2 + 1.9373376)"
9,0.6708483,"(((x0 * 1.3072947) + x2) * 13.223578) + 1.7569954"
11,0.6666247,"(x0 * 17.342016) + (((x0 + 13.157741) * x2) + 1.7599404)"
12,0.5761598,"(x0 * 15.781155) + ((x2 - (abs(x0) + -0.28070074)) * 8.5704975)"
13,0.5732452,"abs((x0 * 16.031729) + (((x2 + 0.2761701) - abs(x0)) * 8.714262))"
14,0.570074,"(15.836082 * x0) + ((8.585336 - x1) * (x2 + (0.2794824 - abs(x0))))"
15,0.5619632,"abs((((x2 + 0.17509678) - abs(x0)) * 8.635196) + (x0 * 15.886312)) + 0.88549286"
17,0.5437327,"(((x1 + 4.1557255) * ((x0 * -14.604594) + 2.2520366)) * ((x0 + x2) + x0)) + 2.3629284"
18,0.5436856,"abs(((((x2 + x0) + x0) * ((x0 * -14.630619) + 2.249191)) * (x1 + 4.157645)) + 2.3638992)"
19,0.53870314,"(x2 + 2.2935202) + (((x0 + x0) + x2) * ((x1 + 3.8105493) * ((x0 * -14.544661) + 2.5638669)))"
