Complexity,Loss,Equation
1,0.9511824,"2.1174555"
3,0.90658516,"x0 + 1.9749819"
4,0.89541745,"exp(x0 + 0.61359876)"
5,0.8510096,"exp(x0) + abs(x3)"
6,0.77794135,"(abs(x0) / x0) + 1.9664329"
8,0.76048005,"(x2 + (abs(x0) / x0)) + 1.9396455"
9,0.6786987,"(((1.2296811 * x0) + x2) * 13.296927) - -1.7586317"
10,0.6754976,"(abs(x0 * (-1.089398 - x1)) / x0) + 2.070525"
11,0.6708722,"((x2 + (x0 * 1.2301092)) * 13.24632) + (x0 - -1.7570736)"
12,0.65579873,"((abs(x0 * (-0.67902476 - x1)) / x0) + 1.6748831) - x1"
13,0.6311978,"(x0 / (((x1 * -1.0071006) + abs(x1)) + abs(x0))) + 1.9769387"
14,0.5743998,"(((abs(x0) + (x2 * -1.1021852)) - (x0 * 1.9859614)) - 0.29287368) * -8.053015"
15,0.57208914,"abs(((((x2 * -0.55360085) - x0) * 1.92437) + abs(x0)) - 0.28383082) * 8.389719"
17,0.55815154,"abs(((((x2 * -0.55393356) - x0) * 1.9934078) + (abs(x0) - 0.17664994)) * 8.399046) + 0.87389"
18,0.5509601,"(0.19009967 - ((((x2 * -0.6270401) - x0) * 1.3171012) + abs((x2 * -0.36391205) - x0))) * 13.206488"
20,0.5441241,"exp(abs((-0.11645231 - ((((x2 * -0.5791203) - x0) + abs((x2 * -0.46504566) - x0)) * -1.1744277)) * 8.350882))"
