Complexity,Loss,Equation
1,1.4075316,"4.727553"
3,1.3998362,"x0 + 4.696254"
4,1.291926,"5.220976 - exp(x3)"
6,1.2120498,"(x1 / abs(x1)) - -3.853766"
7,1.1642985,"exp((abs(x1) / x1) + 0.60196716)"
8,1.1009845,"(x1 / abs(x1 / 1.9642557)) - -2.9979153"
9,1.1009787,"exp((x1 / abs(x1)) - -0.5138277) + 0.4182475"
10,1.0987794,"exp(abs((-0.652187 - (x1 / abs(x1))) - x2))"
11,1.0559497,"exp((x1 * (x2 - (-0.800122 / abs(x1)))) - -0.8373797)"
12,1.0555271,"exp(abs(((x2 - (-0.8363516 / x1)) * abs(x1)) - -0.8000019))"
13,1.0272208,"exp((((x1 * x2) - (-0.8013136 / x1)) * abs(x1)) - -0.8337956)"
14,1.0269746,"exp(abs((((x1 * x2) - (-0.8013136 / x1)) * abs(x1)) - -0.8337956))"
15,1.0027362,"exp((x1 * (((x1 * x2) * x1) - (-0.80366915 / abs(x1)))) - -0.8369449)"
16,1.0027342,"exp((x1 * ((x1 * (x2 * x1)) - (-0.80373627 / abs(abs(x1))))) - -0.83688813)"
17,0.9930836,"exp((((x2 * (x1 * x1)) - (-0.80366915 / abs(x1))) * x1) - (-0.8369449 - x0))"
18,0.95126,"((x0 + (((x2 * (x1 * x1)) - (-0.42633024 / x1)) * abs(x1))) - -0.75355566) * 4.3039174"
19,0.94990104,"(x0 + ((abs(x1) * ((abs(x1) * (x2 * x1)) - (-0.421216 / x1))) - -0.7429306)) * 4.394833"
