Complexity,Loss,Equation
1,1.137048,"2.153099"
3,1.1179519,"x0 + 1.9912008"
5,1.0736642,"(-0.009971965 / x1) + 2.136423"
6,0.95905685,"exp(x1 / (x1 + -0.087949134))"
7,0.8848425,"(x1 / (x1 + 0.112137094)) + 0.9636402"
8,0.8677943,"exp(x0) + (x1 / (x1 + 0.11226785))"
9,0.820194,"((x0 + x1) / (x1 + 0.09181912)) - -1.2369412"
11,0.7712267,"(((x0 * 0.5853557) + x1) / (x1 + 0.101447344)) + 1.1493157"
12,0.7708049,"abs(((x1 + (x0 * 0.5853557)) / (x1 + 0.10144733)) + 1.1603444)"
15,0.74964166,"(x0 + (x2 + 0.6890333)) * (((x1 + x0) / (x1 + 0.107685216)) - -1.9516504)"
17,0.711649,"((((x1 + x0) / (x1 + 0.105056524)) - -4.7292066) * (x2 + (x0 + 0.7147306))) - 2.0604389"
19,0.6881141,"((((x2 + 0.66199976) + x0) * (((x1 + x0) / (x1 + 0.10942948)) - -4.831034)) + x0) - 1.8339076"
20,0.6839955,"abs(x0 + (((((x1 + x0) / (x1 + 0.11080052)) - -7.1532154) * ((x2 + 0.61793154) + x0)) - 3.00498))"
