Complexity,Loss,Equation
1,1.292865,"2.167861"
3,1.2891108,"x0 + 2.0089986"
4,1.2788138,"2.3341699 - abs(x0)"
5,1.2379106,"(-0.0091549475 / x1) + 2.2034101"
6,1.218261,"abs((-0.008916595 / x1) + 2.2138054)"
7,0.8467844,"(0.14044721 / (x1 - 0.11699233)) + 2.6066713"
8,0.8467637,"abs((0.13997813 / (x1 - 0.117147945)) + 2.6005337)"
9,0.8171322,"(x1 + (0.13633282 / (x1 - 0.087758325))) + 3.3738527"
10,0.8167675,"x1 + abs((0.13404891 / (x1 - 0.08409115)) + 3.4608338)"
11,0.75746274,"abs((x1 / (0.03330994 - abs(x1 * -0.40967074))) + -0.5981516)"
13,0.69727373,"abs((x1 / (0.057052087 - abs(x1 * 0.5939396))) + -0.602905) + 0.7608501"
15,0.6922588,"0.69174874 + abs(-0.6154048 + ((x1 / (0.049395338 - abs(x1 * -0.54404587))) + x2))"
16,0.6897675,"abs((x1 / (0.060854185 - abs(x1 * -0.62061006))) + (exp(x2) + -1.5539039)) + 0.8311623"
17,0.6781563,"abs((x1 + -0.6626088) + (x3 + (x1 / (0.053837687 - abs(x1 * -0.57621217))))) + 0.75622135"
19,0.6719676,"(abs(((x1 + x3) + (x1 / (0.0831748 - abs(x1 * -0.86492544)))) + -0.508832) + 0.64411646) / 0.7435712"
20,0.65401024,"abs(x3 + ((exp(x0) + (x1 + -1.6937597)) + (x1 / (0.054549005 - abs(x1 * -0.59307086))))) + 0.7884687"
