Complexity,Loss,Equation
1,1.4949594,"4.96265"
3,1.4887102,"x0 + 4.9524126"
4,1.380186,"5.5047064 - exp(x3)"
6,1.3357327,"5.4894843 - abs(x3 + 1.0822073)"
7,1.2809349,"exp((x1 - abs(x1)) + 1.6294161)"
8,1.1984285,"(x3 - 1.5776789) * (abs(x3) + -3.136329)"
9,1.1233946,"sqrt(0.6944586 / (abs(x1 + 0.026458496) - x1))"
10,1.1233873,"abs(sqrt(0.6973388 / (abs(x1 + 0.02658959) - x1)))"
11,1.0988046,"sqrt(0.83922905 / (abs(x1 + 0.02665337) - x1)) - x1"
13,1.0942181,"x0 + (sqrt(0.83922905 / (abs(x1 + 0.02665337) - x1)) - x1)"
14,1.0793313,"abs(x1 - ((1.1072026 / sqrt(abs(x1 + 0.029501788) - x1)) - 0.779494))"
15,1.0780342,"abs(x1 - abs((1.1072026 / sqrt(abs(x1 + 0.029501788) - x1)) - 0.779494))"
16,1.0045651,"sqrt(abs(((x1 + -1.7776972) * (x3 + -0.4760717)) / (abs(x1) - (x1 - -0.058408722))))"
18,0.9484499,"sqrt(abs((((x3 + -0.5662514) / (abs(x1) - (x1 - -0.06088828))) + 1.5561695) * (x1 + -1.732761)))"
