Complexity,Loss,Equation
1,1.4690002,"5.1009207"
3,1.4664353,"x0 + 5.0648885"
4,1.3925881,"5.575863 - exp(x3)"
6,1.3356997,"(5.100385 - x3) - abs(x3)"
7,1.2310991,"exp((1.6681532 - x3) - abs(x3))"
8,1.2063466,"exp(exp((0.5149637 - x3) - abs(x3)))"
9,1.1937275,"exp(exp(abs(x3 - 0.5147393) - abs(x3)))"
10,1.1670139,"exp(exp((0.558211 - x3) - abs(x3 / -0.9403097)))"
12,1.1482382,"exp(exp((((x3 * x0) - x3) - abs(x3)) + 0.5437256))"
13,1.1411216,"exp(exp(((abs(x0) * x3) - x3) + (0.5437256 - abs(x3))))"
14,1.1283046,"exp(abs((abs(x3) + -1.6993768) - ((x1 * (x3 * x0)) - x3)))"
15,1.1160259,"exp(abs((abs(x3) + -1.7165878) - ((abs(x3 * x0) * x3) - x3)))"
16,1.096227,"exp(abs(((((x1 * x0) * x1) * x3) - x3) - (abs(x3) + -1.6992722)))"
17,1.0916113,"exp(abs(x3 + -1.7007759) - abs(x3 - abs(x3 * (x3 * (x2 - -0.092101336)))))"
18,1.080057,"exp(abs((abs(x3) + -1.7007759) - (((x1 * (x3 * x0)) * (x2 / -0.092101336)) - x3)))"
19,1.0672778,"exp(abs(x3 + -1.7674199) - abs(abs(((1.4290442 - x3) * x3) * (-0.0964916 - x2)) - x3))"
20,1.0577608,"exp(abs(abs(x3) + (-1.7007759 - ((((x2 / -0.092101336) * (x3 * (x0 * x2))) / -0.092101336) - x3))))"
