Complexity,Loss,Equation
1,1.6324698,"2.3900325"
3,1.5506725,"x1 + 3.278255"
5,1.5382466,"(x2 + 3.5233238) - x3"
6,1.3971534,"3.3638482 - (abs(x3) / x3)"
7,1.1665875,"3.0859494 - (0.26753828 / (x3 - -0.15338004))"
8,0.8693382,"abs(0.77604574 / ((0.030657176 / x1) + -0.32135513))"
9,0.78128725,"(0.2911311 / ((x1 + x1) - 0.2398745)) + 2.613272"
11,0.77757657,"(0.28738388 / ((x1 + x1) - 0.24210502)) + (x0 + 2.61681)"
12,0.7651883,"(0.2884181 / ((x1 + x1) - 0.2408885)) + (2.6399477 - abs(x0))"
13,0.7324418,"(0.30377057 / ((x1 + x1) - 0.21970381)) + (2.8879046 - (x1 * -0.51400435))"
14,0.6849469,"(1.7997978 / abs((x1 + (0.05121735 / (x1 + -0.024313886))) - 0.14093803)) + 0.65783936"
16,0.6456587,"(1.8566395 / (abs(x1 + ((0.068953276 / (x1 + -0.025948638)) - 0.21526662)) + x0)) + 0.790812"
18,0.6433669,"(2.4213145 / ((abs((x1 + (0.06853609 / (x1 + -0.024790991))) - 0.30444416) + x0) - -0.20733398)) + 0.6998803"
19,0.6388961,"(0.8255571 - abs(x0)) + (1.804266 / (abs(x1 + ((0.06533716 / (x1 + -0.025576187)) - 0.20046756)) + x0))"
