Complexity,Loss,Equation
1,1.4590081,"5.122711"
3,1.4567826,"x0 + 5.1245136"
4,1.3888597,"5.6661425 - exp(x3)"
6,1.3275012,"(abs(x0) * -25.990606) + 6.1008005"
7,1.2729125,"exp((x1 + 1.6748105) - abs(x1))"
8,1.2457187,"exp(exp(x1 - (abs(x1) + -0.5170184)))"
9,1.2389547,"exp(exp(abs(x1 + 0.5169149) - abs(x1)))"
10,1.2101055,"exp(exp(x1 - ((abs(x1) / 0.90688074) + -0.5678979)))"
11,1.1583167,"abs(abs(((x3 * x0) + x0) * 23.310965) + -5.826375)"
13,1.1088184,"abs(abs(x3 + ((x0 + (x0 * x3)) * -36.766243)) + -6.2025986)"
15,1.0791924,"exp(((abs(x1) - x1) / ((0.199042 - x3) / x3)) + 1.7688297) - x1"
18,1.0283654,"exp(abs(((x3 * 0.8869515) + -1.7569059) + ((-0.15446301 - abs(x3)) / ((0.14449209 - x3) / x3))))"
