Complexity,Loss,Equation
1,1.6324698,"2.390628"
3,1.5506725,"x1 + 3.2785907"
5,1.5382466,"x2 + (3.5077584 - x3)"
6,1.4695767,"-0.29862124 / (-0.05384746 - abs(x0))"
8,1.3524365,"exp(exp((x3 / abs(x3)) * -0.49330685))"
9,1.1695349,"exp(abs(0.11201241 / (x1 - 0.2865338)) + 0.67493325)"
11,0.8813316,"exp((abs((0.15081596 / x1) + -1.3314993) / -1.6690745) + 1.9645152)"
12,0.80347776,"exp(exp(0.5463274 + (abs((-0.17916282 + x1) / x1) * -0.519969)))"
13,0.7710662,"exp((abs((0.101057254 / x1) + (x1 + -0.547886)) / -1.5877732) + 1.8229945)"
14,0.6872582,"exp(exp((abs((x1 + (-0.03046427 / x1)) / x3) * -0.8589952) + 0.5419817))"
15,0.6871135,"exp(abs(exp((abs((x1 + (-0.030222055 / x1)) / x3) * -0.84425473) + 0.53575116)))"
16,0.65339303,"exp(x0 + exp((abs((x1 + (-0.028065696 / x1)) / x3) / -1.0123348) + 0.5696028))"
18,0.6225004,"exp(exp((abs((x1 * 0.71258473) + ((x1 + (-0.019263588 / x1)) / x3)) / -1.6281356) + 0.57314104))"
19,0.6141663,"exp((abs((x1 * 0.8569396) + ((x1 + (-0.021518765 / x1)) / x3)) / -1.2816396) + 1.5080079) + 0.95625174"
20,0.61014944,"exp(exp((abs((x1 * 0.9058732) + ((x1 + (-0.021265607 / x1)) / x3)) / -2.3407288) + 0.54688245)) + -0.11477971"
