Complexity,Loss,Equation
1,1.4594488,"5.1695094"
3,1.4563133,"x0 + 5.143693"
4,1.3902924,"5.6915812 - exp(x3)"
6,1.3480955,"5.7417207 - abs(x3 - -0.98991185)"
7,1.2425777,"4.9571805 - ((x3 + 1.7390289) * x3)"
8,1.2398115,"5.6316314 - abs(x3 * (x3 + 1.4167337))"
9,1.1493356,"exp((exp(x1 / -0.031905774) * -0.00979232) - -1.685227)"
10,1.0952656,"exp(exp((exp(x3 / 0.030504081) * -0.0048370063) - -0.52714974))"
11,1.0940984,"0.9750642 + exp((exp(x1 / -0.022270374) * -0.0048370063) - -1.5172608)"
12,1.0757289,"exp(exp(((0.105929196 - x3) * exp(x3 / 0.042564046)) - -0.49763376))"
13,1.0401034,"exp(((x2 + exp(x1 / -0.04263455)) * x1) - -1.5186824) + 1.0283664"
15,0.98861766,"1.0287174 + exp(((x1 * (exp(x3 / 0.038007047) - x2)) * x3) - -1.5361215)"
16,0.9874376,"exp((x1 * (abs(exp(x3 / 0.038007047) - x2) * x3)) - -1.5361215) + 1.0309741"
17,0.91527104,"exp((exp(((x1 * x1) + x3) / 0.038012773) * (x1 * x3)) - -1.528159) + 1.0295992"
