Complexity,Loss,Equation
1,1.4508462,"5.3356123"
3,1.4496297,"x0 + 5.280437"
4,1.3930771,"5.7361393 - exp(x3)"
6,1.3122733,"5.399404 / (exp(x3) + x1)"
7,1.2276211,"5.388785 / exp(x3 + abs(x3))"
8,1.1351905,"0.5124849 / (abs(x3 + -0.09449471) + x3)"
9,1.1347879,"abs(0.51692295 / (x3 + abs(x3 + -0.09555114)))"
10,1.0595728,"(0.5558046 / (x3 + abs(-0.09273152 + x3))) - x1"
11,1.0277323,"abs((-0.35499728 / ((x1 - abs(x1)) + 0.17053749)) + -3.2543945)"
13,1.0224382,"abs((-0.39562303 / (x1 + (0.18424101 - abs(x1)))) + -2.4967365) + 0.7204334"
14,1.0195737,"abs(((-0.35506827 / ((x1 + 0.16831048) - abs(x1))) + abs(x2)) + -3.2408392)"
15,0.9893306,"abs(-3.2406962 + (((x0 * x1) + -0.35459858) / ((x1 - abs(x1)) + 0.16958244)))"
16,0.97179556,"abs((((x1 * abs(x2)) + -0.35709158) / ((x1 - abs(x1)) + 0.17745616)) + -3.4175138)"
17,0.88762957,"abs((x2 / (x2 + 0.23683806)) - ((-0.47998267 / ((x1 - abs(x1)) + 0.21615468)) + -3.3953164))"
19,0.8553942,"abs(((x2 + -0.48400497) / ((x1 + 0.2017838) - abs(x1))) + (-3.0205808 - (x2 / (x2 + 0.23297513))))"
