Complexity,Loss,Equation
1,1.714098,"2.8058217"
3,1.607897,"x1 + 3.3740046"
5,1.598639,"(x2 + 3.5293968) - x3"
6,1.4485892,"3.409536 - (x3 / abs(x3))"
8,1.2836963,"2.9503636 - (x3 / abs(x3 + 0.15065861))"
9,0.97820276,"6.042636 / exp(abs(x1 + (-0.053246588 / x1)))"
10,0.87911594,"6.4504848 / exp(abs((-0.059085898 / x1) + abs(x1)))"
12,0.85140896,"6.3246617 / exp(abs(((-0.058812965 / x1) - x2) + abs(x1)))"
13,0.8509146,"6.4504848 / exp(abs((-0.059085898 / x1) + abs(abs(x1) - x2)))"
14,0.8018467,"abs((((2.0322602 / x1) / exp(abs(0.16393493 / x1))) + x1) + 0.70205086)"
16,0.763872,"abs((x1 + ((1.9983819 / x1) / exp(abs(x2 + (0.16331115 / x1))))) + 0.7010579)"
18,0.7577534,"abs((x1 + ((1.9983819 / x1) / exp(abs(x2 + (0.16331115 / x1))))) + (0.72690064 + x2))"
20,0.75190395,"abs((x1 + ((1.9983819 / x1) / (exp(abs((0.16331115 / x1) + x2)) + (x1 * x0)))) + 0.72690064)"
