Complexity,Loss,Equation
1,1.7939823,"3.05416"
3,1.6201283,"4.063564 - x3"
5,1.6072171,"(x1 * 1.5302624) + 4.327315"
6,1.4225684,"3.9867015 - (abs(x3) / x3)"
7,1.2226743,"3.228533 - (0.22080973 / (x3 + 0.15759943))"
8,1.1620618,"3.2729542 - (abs(x3) / (x3 + 0.13286746))"
9,1.1294203,"3.67778 - ((0.19428761 / (x3 + 0.14417267)) - x1)"
10,1.1096046,"abs(x1 + (3.7072172 - (0.21500994 / (x3 + 0.13567348))))"
11,1.0825324,"abs((abs(x1 + 0.15111834) / (x3 + 0.13330993)) - 3.0083184)"
12,1.0526669,"2.9096518 - (abs(x1 + 0.117486216) / (x3 + (0.1511153 - x2)))"
13,1.0272412,"abs((abs(x1 + 0.13947527) / ((x3 + 0.14358492) - x2)) - 2.9053173)"
14,0.9242625,"x2 + (3.0498624 - (abs(x1 + 0.13951598) / ((x1 * -1.4894872) + 0.1286979)))"
