Complexity,Loss,Equation
1,1.822053,"3.0794902"
3,1.6531241,"4.080446 - x3"
5,1.6373563,"(x1 / 0.6716586) + 4.331187"
6,1.5010594,"5.5065517 - abs(x2 * 21.798662)"
8,1.2273642,"sqrt(sqrt(abs(-23.639282 / (0.19972096 - x1))))"
9,1.1038946,"sqrt(abs(-15.22848 / (-1.5490254 - (-0.1760639 / x1))))"
10,0.96038085,"exp(exp(0.6187745 - abs((-0.10378227 / x1) - -0.5110087)))"
12,0.95204926,"exp(exp(0.618915 - abs((-0.10352851 / x1) - -0.5112132))) + x0"
14,0.93368936,"x1 + exp(1.6699982 - abs((7.881895 - (1.2768095 / abs(x1))) * x0))"
15,0.87831193,"x1 + exp(exp(0.51917034 - abs(x0 * (7.6383195 - (1.2380805 / abs(x1))))))"
16,0.8709474,"abs(x1 + exp(exp(0.51917034 - abs((7.6383195 - (1.2380805 / abs(x1))) * x0))))"
18,0.86041653,"abs((exp(exp(0.52171326 - abs(x0 * (abs(1.218748 / x1) - 7.4978714)))) + x0) + x1)"
20,0.8593098,"abs(x0 + ((0.9715402 * exp(exp(0.53985816 - abs((7.610543 - (1.2350354 / abs(x1))) * x0)))) + x1))"
