Complexity,Loss,Equation
1,1.4364694,"5.389252"
3,1.4331636,"x2 + 5.439342"
4,1.3795413,"5.9289675 - abs(x1)"
5,1.3716253,"5.9007826 - (x1 * x1)"
6,1.3017865,"6.2498927 - (abs(x0) * 25.31903)"
7,1.2469988,"((-1.5007569 - x3) * x3) + 5.308456"
8,1.1435734,"sqrt(24.842026 - (1.2461133 / (-0.10985601 - x1)))"
9,1.1320438,"sqrt(abs(24.841486 - (1.2073492 / (-0.11505822 - x1))))"
10,1.1039729,"sqrt(abs(25.488712 - (exp(x3) / (-0.10985601 - x1))))"
12,1.103378,"sqrt(abs(25.488712 - (exp(x3) / (-0.10985601 - x1)))) + 0.0880503"
13,1.1002275,"sqrt(abs(abs((x1 + 26.348433) - (exp(x3) / (-0.11162861 - x1)))))"
15,1.0937655,"sqrt(abs(24.842026 - ((exp(x2) + abs(x3)) / (-0.10985601 - x1))) + 0.5364324)"
19,1.0818677,"abs((1.922883 - abs(x2 + ((x0 * 21.908659) * (x0 * ((x3 * 3.724535) + 6.3303328))))) / 0.33050957)"
