Complexity,Loss,Equation
1,1.9746106,"4.0184593"
3,1.676789,"4.551015 - x3"
5,1.6448518,"(3.5320892 - x3) / 0.73153746"
6,1.4568259,"4.097571 - (abs(x3) / x3)"
7,1.2434273,"sqrt(abs(3.95437 / (0.31854296 - x1)))"
8,1.2275312,"abs(0.34243754 / (x1 - 0.30417055)) + 2.027838"
9,1.1835747,"sqrt(2.4375367 / abs(0.3034451 - x1)) + 0.8251258"
10,1.1703223,"(1.1660931 / (abs(x1 - 0.27242267) + 0.17914106)) + 1.2758785"
11,1.1183532,"exp((exp(x1 / (0.119902246 - x1)) * -1.4167762) + 1.7646431)"
12,1.0392851,"exp(exp(exp(2.015764 / (0.07281085 - x1)) * -2.7526622) - -0.7802625)"
14,0.9902469,"exp(exp((x0 + exp((0.102495946 - x1) / 0.027413191)) / -0.38524455) + 0.82927656)"
16,0.96963966,"exp(exp((x0 + exp((0.102495946 - x1) / 0.027413191)) / (-0.38524455 + x0)) + 0.82927656)"
17,0.9443328,"exp(exp(((x0 / exp(x3)) + exp((0.11052267 - x1) / 0.028147634)) / -0.5668417) - -0.846079)"
18,0.942144,"exp(exp((exp((0.102495946 - x1) / 0.027413191) + x0) / (x0 + (x0 + -0.38524455))) + 0.82927656)"
19,0.93244445,"exp(exp(((x0 + exp((0.11052267 - x1) / 0.028147634)) * (exp(x1) / -0.571212)) - x2) - -0.846079)"
20,0.90670973,"exp(exp((((exp(abs(x3)) * x0) + exp((0.11052267 - x1) / 0.028147634)) / -0.5668417) - x2) - -0.846079)"
