Complexity,Loss,Equation
1,1.5318071,"5.6032796"
3,1.48071,"6.1038237 - x1"
4,1.4273843,"6.124213 - abs(x1)"
5,1.4199429,"6.0518103 - (x1 * x1)"
6,1.4142495,"6.303768 - abs(-0.18582608 - x3)"
7,1.33888,"5.6230187 - ((x3 + 1.3202131) * x3)"
8,1.3089311,"6.0206013 - abs((x3 + 1.3479999) * x3)"
9,1.2542356,"x3 + exp(1.8731953 - (x3 + abs(x3)))"
11,1.2430283,"(x1 * -1.4718459) + exp(1.8731953 - (abs(x3) + x3))"
12,1.2188996,"abs((exp(2.4595113 - (x3 + abs(x3))) + x3) + -5.2638154)"
13,1.2153202,"abs(x3 + (exp(abs(2.4524288 - (abs(x3) + x3))) + -5.1182246))"
14,1.1819824,"abs(exp(1.8426012 - abs(x3)) + ((-4.2625933 - (x3 * x1)) * x3))"
15,1.1819819,"abs(abs(exp(1.8423648 - abs(x3)) + (x3 * (-4.262615 - (x1 * x3)))))"
16,1.1711901,"abs(((-4.192694 - (x1 * x3)) * x3) + exp(1.8320358 - abs(x2 - x3)))"
17,1.1535999,"((-2.9755569 - (x1 * (x3 - -1.1609098))) * x3) + exp(1.8802536 - abs(x2 - x3))"
18,1.1443571,"abs((exp(2.1196837 - abs(x2 - x3)) + -1.855726) + ((-4.968573 - (x1 * x3)) * x3))"
