Complexity,Loss,Equation
1,1.5331895,"5.616543"
3,1.4746763,"6.1066227 - x1"
4,1.4224358,"6.127867 - abs(x1)"
5,1.4082483,"6.0712667 - (x1 * x1)"
6,1.3755909,"6.5856557 - abs(-29.495731 * x0)"
7,1.3225462,"5.6444283 - ((x3 + 1.3091303) * x3)"
8,1.2967519,"6.042306 - abs(x3 * (x3 + 1.2940956))"
9,1.2717288,"5.90105 - ((x3 + 1.0666528) * (x0 * -22.76622))"
10,1.2452811,"6.157505 - (abs((x3 + 1.0920905) * x0) * 24.69834)"
11,1.242264,"abs(6.1650324 - abs((x0 * (x3 + 1.0946972)) * 25.009533))"
12,1.2318851,"6.38416 - abs((((x3 + 1.1268674) * 24.429176) * x0) - 0.38290662)"
13,1.2084584,"exp(1.8202668 - abs((x3 + 1.6415715) * ((x0 * -5.2186823) * x3)))"
14,1.1996548,"abs(abs((((x3 + 1.4696256) * -30.56575) * abs(x0)) + 0.70224047) - 6.3799424)"
15,1.1702179,"exp(1.8314472 - abs(x2 + ((x0 * (x3 + 1.7993876)) * (x3 * -5.585825))))"
16,1.1685182,"exp(abs(1.8314472 - abs(x2 + ((x0 * (x3 + 1.7993876)) * (x3 * -5.585825)))))"
18,1.1479856,"abs(abs(((abs((x3 + 1.5015078) * x0) * -21.42246) * (x3 + 0.9585878)) + 0.66444814) - 6.39918)"
