Complexity,Loss,Equation
1,1.5306724,"5.637837"
3,1.4681435,"6.1157703 - x1"
4,1.4159008,"6.39162 - abs(x3)"
5,1.400279,"6.084333 - (x1 * x1)"
6,1.3754878,"6.6364703 - (abs(x0) * 29.624683)"
7,1.2333648,"6.2106204 - (x1 / (x1 + 0.13133398))"
8,1.2303376,"abs(6.2530775 - (x1 / (0.13848993 + x1)))"
9,1.2255436,"6.117805 - ((x1 + -0.04585287) / (x1 + 0.1226277))"
10,1.1829119,"6.0799284 - abs(x3 + (x1 / (x1 + 0.12900808)))"
12,1.1708944,"6.327975 - abs((x3 - x1) + (x1 / (x1 + 0.12900808)))"
13,1.1465527,"(6.642399 - (x1 / (x1 + 0.13296829))) - ((x3 * x0) * -11.1019535)"
14,1.0959574,"(7.5150514 - (x1 / (x1 + 0.13318482))) - exp(x2 * (x3 * 3.1778975))"
15,1.0806835,"abs((7.5150595 - (x1 / (x1 + 0.1395833))) - exp(x2 * (x3 * 3.5561247)))"
16,1.0698448,"(6.575234 - (x1 / (x1 + 0.12896472))) - abs((x0 * (x3 + 0.8084755)) * 12.272971)"
17,1.048603,"(6.647185 - (x1 / (x1 + 0.12563708))) - abs(abs(((x3 + 0.8967776) * 16.09121) * x0))"
20,1.0400997,"abs((6.4594274 - (x1 / (x1 + 0.13992092))) - ((x3 * ((x2 * x3) / -0.033780858)) * x0)) - x2"
