Complexity,Loss,Equation
1,1.969561,"5.0190873"
3,1.6593472,"4.953289 - x3"
5,1.6035078,"(x3 * -1.4400952) + 5.0235696"
6,1.5347463,"(5.345309 - x3) - abs(x1)"
7,1.3323389,"exp(1.9115636 - abs(0.33654296 - x1))"
8,1.3111577,"exp(exp(0.76739043 - abs(x3 - -0.49677312)))"
9,1.2996751,"exp(1.919828 - abs(0.35591382 - (x1 + x0)))"
10,1.0804832,"exp((2.09769 - abs(x1)) - abs(x0 / x1))"
12,0.98026,"exp((2.0775416 - abs(x0 / x1)) - abs(-0.33786288 + x1))"
14,0.96588844,"exp((0.7338061 - abs(x0 / x1)) - abs(0.28361383 - x1)) * 3.6400497"
16,0.9017307,"(exp((0.86593944 - abs(x0 / x1)) - abs(x1 - 0.29711267)) * 2.7780242) - -0.79280025"
17,0.90167296,"(exp((0.8742635 - abs(x0 / x1)) - abs(abs(x1 - 0.2968186))) * 2.7729828) - -0.7576333"
18,0.8945736,"(exp((0.88255125 - abs(x0 / x1)) - abs(x1 - (0.3013332 - x0))) * 2.7751245) - -0.78020513"
19,0.88479525,"exp(((1.5461985 - abs(x0 / x1)) - abs(x1 - (0.30613232 - abs(x0)))) * 1.2363721) - -0.8942149"
20,0.8726678,"(2.7751245 * exp((0.88255125 - abs(x0 / x1)) - abs(((x0 / x1) + x1) - 0.3013332))) - -0.78020513"
