Complexity,Loss,Equation
1,1.968141,"5.023147"
3,1.6582463,"4.9563723 - x3"
5,1.6016765,"(3.4919338 - x3) * 1.438532"
6,1.3442619,"exp(x1 / (x1 - 0.07476032))"
7,1.3288642,"exp(1.9117744 - abs(0.33639935 - x1))"
8,1.22177,"exp(x1 / (x1 - 0.07056984)) + 0.60786337"
9,0.9930051,"exp(1.8637965 - abs((-0.05788462 / x1) + x1))"
10,0.94038653,"exp(1.9043828 - abs((0.060999244 / x1) - abs(x1)))"
11,0.9351749,"exp(1.95428 - abs(((x0 / x1) + x1) + -0.30452195))"
12,0.90397847,"exp(1.8749654 - abs(abs(x1) - (0.08326399 / x1))) - -0.69832"
13,0.8680624,"exp(1.8133247 - abs((x0 / x1) - (0.32903823 - x1))) + 0.7846286"
14,0.8430895,"exp(1.8204074 - abs(x1 - abs(0.33331323 - (x0 / x1)))) + 0.7807375"
16,0.8174306,"exp(1.8232656 - abs(abs((x1 + ((x0 + -0.020884398) / x1)) + -0.21811782))) + 0.7852165"
18,0.81554264,"(exp(1.8232656 - abs(abs(x1 + (((x0 + -0.020884398) / x1) + -0.21811782)))) + 0.7852165) - x0"
20,0.7973414,"exp(1.8083255 - (abs((x0 / (x1 - 0.028644463)) - (0.34097603 - x1)) + abs(x0))) + (0.9714413 - x2)"
