Complexity,Loss,Equation
1,1.5192543,"5.683501"
3,1.4527115,"6.134344 - x1"
4,1.3975095,"6.4548993 - abs(x3)"
5,1.3791105,"6.129862 - (x1 * x1)"
6,1.3472495,"6.645681 - abs(x0 / 0.033280075)"
7,1.2868415,"5.8036838 - ((x3 - -1.2430984) * x3)"
8,1.2662195,"6.1039987 - abs(x3 * (x3 - -1.1525533))"
10,1.2268474,"6.244448 - abs((x3 * -1.4082562) * (-1.3509647 - x3))"
11,1.2115103,"abs(6.8524156 - exp((x3 + 1.0277973) * (x2 / 0.16477166)))"
13,1.1749773,"abs((abs(x0 * (x3 - -1.442744)) * 26.981976) + -6.892163) - x1"
14,1.1513149,"abs((abs(x3) + abs((x0 * -26.709408) * (x3 - -1.5836468))) - 7.226751)"
16,1.1356356,"abs((abs(x3) + abs(((x2 + (x3 - -1.6954206)) * -26.607185) * x0)) - 7.2828307)"
18,1.128266,"abs(((abs(x0 * (((x2 + x3) - -1.666382) * -26.70705)) + x2) + abs(x3)) - 7.230675)"
19,1.1126242,"abs((abs((abs((-1.6614013 - (x2 + x3)) * -26.817356) * x0) + -0.27331382) + abs(x3)) - 7.175624)"
