Complexity,Loss,Equation
1,1.9341555,"5.0452123"
3,1.6094099,"5.1586885 - x3"
5,1.55819,"(x1 * 1.9986848) + 5.1066227"
6,1.4903817,"5.835721 - abs(x3 - -0.6672621)"
7,1.3934983,"exp(2.0244312 - abs(x3 - -0.51205516))"
8,1.2951827,"(5.9887624 - x3) - abs(x0 * 24.454273)"
9,1.2803115,"(6.2757773 - x3) / exp(abs(x0 * 6.7419777))"
10,1.2009209,"6.8556366 - abs((x3 - (x0 * 30.629862)) - -1.2012959)"
11,1.1849349,"abs(6.8556366 - abs((x3 - (x0 * 30.629862)) - -1.2012959))"
12,1.0426133,"abs(sqrt(abs((-0.97115713 / x1) + (x1 * 17.894323))) - 6.973491)"
13,1.0088595,"abs(sqrt(abs((17.896437 * abs(x1)) + (-0.9368925 / x1))) - 6.9994445)"
14,1.0072198,"abs(abs(7.217506 - sqrt(abs(abs(x1 * 17.285704) + (-0.97766256 / x1)))))"
15,1.0066803,"abs(sqrt(abs(abs(x3 + (17.896437 * x1)) + (-0.9368925 / x1))) - 6.9994445)"
16,1.0031816,"abs((5.115286 - sqrt(abs(abs((-0.8682645 / x1) + abs(x1 * 15.97638))))) + 1.9081733)"
17,0.9915948,"abs(sqrt(abs(abs(x3 + (x1 + (17.896437 * x1))) + (-0.9368925 / x1))) - 6.9994445)"
