Complexity,Loss,Equation
1,1.5132433,"5.725266"
3,1.4361562,"6.193062 - x1"
4,1.378401,"6.507819 - abs(x3)"
5,1.3661133,"6.1613297 - (x1 * x1)"
6,1.3261701,"6.7661924 - abs(x0 * 30.443403)"
7,1.2811846,"5.866654 - ((x3 - -1.2527853) * x3)"
8,1.2567462,"6.130475 - abs((x3 - -1.1662296) * x3)"
9,1.224017,"6.0330834 - (((x3 - -1.0730888) * x0) * -23.079865)"
10,1.2155919,"6.2694106 - abs(((x3 - -1.0881804) * -25.090065) * x0)"
11,1.2093986,"abs(abs((x0 * (x3 - -1.0883874)) * -25.090727) - 6.267003)"
12,1.1753019,"(6.887959 - abs((-1.4141896 - x3) * (25.36003 * x0))) - x1"
13,1.1565089,"(6.8545575 - abs((x0 * (-1.385773 - x3)) * 23.794342)) - abs(x1)"
14,1.1426346,"abs((6.913119 - abs((x0 * 25.858213) * (x3 - -1.4027435))) - abs(x1))"
15,1.1372502,"abs(sqrt(abs(x1)) + (abs((x3 - -1.3291196) * (x0 * -25.172636)) - 7.0055337))"
16,1.1271259,"abs((6.898576 - abs((-1.418641 - x3) * ((x0 * -26.77917) + 0.21889661))) - abs(x1))"
18,1.1243787,"abs((6.898576 - abs((-1.418641 - x3) * ((x0 * -26.77917) + 0.21889661))) - abs(x1 + x0))"
20,1.1210502,"abs((6.898443 - abs((x3 - (-1.6608778 - x2)) * (-0.21255137 - (x0 * -26.773855)))) - abs(x0 + x1))"
