Complexity,Loss,Equation
1,1.9341555,"5.0601473"
3,1.6094099,"5.1585894 - x3"
5,1.5581907,"x1 + (x1 + 5.106574)"
6,1.4903817,"5.8370867 - abs(x3 - -0.66814655)"
7,1.3040725,"exp(1.9240366 - abs(x1 + -0.32471108))"
8,1.2983161,"exp(abs(1.9228075 - abs(x1 - 0.3248485)))"
9,1.015797,"exp(1.9734229 - abs((0.07003413 / x1) - x1))"
10,0.93625605,"exp(1.9123806 - abs(abs(x1) - (0.057125274 / x1)))"
12,0.92209387,"exp(1.9734229 - abs(abs(0.07003413 / x1) - x1)) + x2"
13,0.86825156,"exp(1.8018006 - abs(x1 + ((x0 / x1) - 0.3193176))) + 0.8179953"
14,0.8504169,"exp(1.8153298 - abs((x0 / abs(x1)) + (x1 - 0.303805))) + 0.85903436"
15,0.84316975,"exp(1.8149003 - abs(0.35515845 - (x1 + (x0 / (-0.027989157 + x1))))) + 0.9465746"
16,0.825117,"exp((1.8446957 - abs(x1 + ((x0 / abs(x1)) - 0.3439091))) - x0) + 0.806312"
17,0.8130686,"abs(exp(1.8119875 - abs((x0 / abs(x1 + -0.026501091)) + (x1 - 0.3088646))) + 0.9289821)"
18,0.81070703,"exp(1.8039736 - abs(((x0 / abs(x1 + (x0 / 3.2502909))) + x1) - 0.2919599)) + 0.9150221"
20,0.79422265,"exp((1.8260837 - abs(((x0 / abs(x1 + (x0 / 2.3708773))) + x1) - 0.29409897)) - x0) + 0.8506256"
