Complexity,Loss,Equation
1,1.5063101,"5.725586"
3,1.4264709,"6.2155957 - x1"
4,1.3701017,"6.530164 - abs(x3)"
5,1.3559788,"6.230693 - (x1 * x1)"
6,1.354464,"6.4611526 - abs(x3 + 0.22086188)"
7,1.3020835,"7.1338153 - (abs(x3) + exp(x3))"
8,1.253406,"(2.8227262 - x3) * (2.1981463 - abs(x1))"
9,1.246096,"exp((x1 - (abs(x1) * 1.2704625)) + 1.8761005)"
10,1.2142035,"exp(exp((0.64817035 - abs(x1 * -1.1613318)) + x1))"
12,1.2100089,"exp(exp((x1 + 0.6484469) - abs(x1 * -1.1506435))) + x2"
13,1.1765685,"abs(exp(exp((x1 + 0.8862389) - abs(x1 * 1.0743828))) + -4.429933)"
15,1.1347772,"exp(exp((x1 + 0.6429708) - abs(x1 * -1.0987293))) + (x2 / exp(x3))"
17,1.1195518,"(x2 / (exp(x3) - 0.017320149)) + exp(exp((x1 + 0.6413926) - (abs(x1) * 1.0833989)))"
18,1.1135644,"abs((x2 * (x1 / exp(x3))) + exp(exp(x1 + (0.6429708 - abs(x1 * -1.0987293)))))"
20,1.1081516,"x0 + abs(exp(exp(x1 + (0.6429708 - abs(x1 * -1.0987293)))) + ((x2 / exp(x3)) * x1))"
