Complexity,Loss,Equation
1,1.9411311,"5.1861653"
3,1.6047242,"5.168092 - x3"
5,1.5585362,"-1.4238509 * (x3 + -3.556148)"
6,1.494686,"5.889481 - abs(x3 + 0.71231616)"
7,1.3586329,"exp(2.0463433 - abs(x3 + 0.5244506))"
8,1.2667664,"(-0.21406016 / (1.0934104 - exp(x1))) - -4.4291635"
9,1.2436385,"abs((-0.2671549 / (1.0837611 - exp(x1))) - -4.221671)"
10,1.1053499,"x1 + ((-0.1938412 / (1.0861691 - exp(x1))) - -4.528242)"
11,1.0793495,"abs(((-0.17900091 / (1.0802559 - exp(x1))) - x3) - -4.622585)"
13,0.95956457,"6.6651053 - abs(x3 + (1.9556627 - (-0.2536195 / (1.0998043 - exp(x1)))))"
14,0.95801103,"abs(6.6719227 - abs(((-0.25425148 / (1.0991473 - exp(x1))) - x3) - 1.9558303))"
15,0.94618225,"abs(abs(abs(x3) + (1.4997903 - (-0.2823984 / (1.0966649 - exp(x1))))) - 6.7583237)"
16,0.90188503,"6.7377744 - abs((abs(x1) - x1) + (1.5734454 - (-0.26450872 / (1.0953146 - exp(x1)))))"
17,0.89810705,"abs((abs(x1) + (abs((-0.26502094 / (1.0947448 - exp(x1))) - 1.573002) - x1)) - 6.7375946)"
18,0.88405883,"6.7272053 - abs((abs((x1 - x0) * -2.3391104) + 1.1210012) - (-0.26860043 / (1.0930083 - exp(x1))))"
19,0.8665747,"abs(6.9433064 - (abs((x1 - 0.22949074) / 0.50029844) + abs(1.2423104 - (-0.25371376 / (1.0897807 - exp(x1))))))"
20,0.8664378,"abs(abs(6.9546514 - (abs(1.2940503 - (-0.25738576 / (1.0914692 - exp(x1)))) + abs((0.4602886 - x1) - x1))))"
