Complexity,Loss,Equation
1,1.918593,"5.428601"
3,1.5911316,"5.177991 - x3"
5,1.5338842,"5.3636446 - (x1 / -0.4380765)"
6,1.4689038,"6.006819 - (x3 + abs(x3))"
7,1.2708417,"exp(1.955218 - abs(0.29581994 - x1))"
8,1.266922,"exp(abs(1.955218 - abs(0.29581994 - x1)))"
9,1.0372125,"exp(1.9143367 - abs(x1 - (0.056884896 / x1)))"
10,0.9861487,"exp(1.9215113 - abs(x1 - (0.05551558 / abs(x1))))"
12,0.95398384,"exp(1.8641961 - abs(x1 - abs(0.074670486 / x1))) - -0.81904954"
13,0.9388732,"0.89999914 + exp(2.0443301 - abs(0.42811057 + ((-0.11271416 / x1) - x1)))"
14,0.92521626,"exp(1.8260002 - abs((x1 + (x0 / abs(x1))) - 0.31498754)) + 0.8832491"
15,0.92325,"exp(1.8069594 - abs((x1 + -0.29205444) + ((x0 / x1) - x0))) + 0.87514144"
16,0.9089841,"exp(1.8069522 - abs((((x0 / abs(x1)) - x0) + -0.29205304) + x1)) + 0.8751416"
17,0.8549877,"exp(1.8726983 - abs(((0.11209715 / ((x1 * -2.9561188) - -0.07680753)) + 0.28048876) - x1)) + 0.98730063"
19,0.853851,"x0 + (exp(1.8726983 - abs(((0.11209715 / ((x1 * -2.9561188) - -0.07680753)) + 0.28048876) - x1)) + 0.98730063)"
