Complexity,Loss,Equation
1,1.5255908,"5.7993646"
3,1.4257431,"6.359478 - x1"
4,1.3573202,"6.697377 - abs(x3)"
5,1.3494003,"(x1 * x3) + 6.548349"
7,1.2903858,"6.1676493 - ((x3 + 1.0497096) * x3)"
8,1.2721449,"6.291267 - abs((x3 + 1.0949742) * x3)"
9,1.2447613,"(0.482312 - (x2 + (x3 * x2))) * 12.466715"
10,1.2334591,"abs((x2 * x3) + (x2 - 0.41820553)) * 14.45787"
11,1.2289861,"abs(6.425785 - abs(((x3 + 1.3246745) * x3) * 1.4283117))"
12,1.2128758,"(0.6118841 - abs(((x2 * 1.837525) + 0.15866831) * x3)) * 10.630849"
13,1.192072,"abs((abs(x3 * ((x2 + 0.085024446) * -2.1008406)) - 0.6119693) * -10.764977)"
15,1.1796165,"abs((0.6721903 - abs((((x2 * 2.406866) + 0.1606858) * x3) - x0)) * 9.817655)"
17,1.171311,"abs(0.9085746 - abs(x0 + (((x2 * 3.1202915) + 0.22852546) * (x0 - x3)))) * 7.276136"
18,1.1657354,"abs((abs((x3 * ((x2 * 1.8167754) + 0.15830462)) - (x0 - abs(x0))) - 0.51480496) * 12.97705)"
19,1.1657302,"abs(abs((0.5146542 - abs((x0 - abs(x0)) - (((x2 * 1.815309) + 0.15809955) * x3))) * 12.97714))"
20,1.1622132,"abs(((0.46120232 - abs((x0 - abs(x0)) - (x3 * ((x2 * 1.6117104) + 0.14228307)))) * 14.601157) - x0)"
