Complexity,Loss,Equation
1,1.9395238,"5.4465365"
3,1.5886042,"5.2431154 - x3"
5,1.5215894,"(x1 + 5.5054812) - x3"
6,1.4670213,"(6.0292764 - x3) - abs(x3)"
7,1.2798072,"(0.20719402 / (x1 + -0.09358312)) + 4.3335347"
8,1.2690512,"abs((0.25240988 / (x1 + -0.08125229)) + 4.200684)"
9,1.0864145,"((0.18791087 / (x1 + -0.08385848)) - x3) + 4.5922937"
10,1.0826699,"abs(4.607884 + (0.18704216 / (-0.083279796 + x1))) - x3"
11,1.0709451,"abs(4.08282 + (abs(x1 + 0.10354169) / (x1 + -0.07591087)))"
12,1.0472821,"((0.17356579 / (x1 + -0.07445952)) + (5.157092 + x1)) - abs(x1)"
13,1.0236211,"(((x1 + 0.086675644) / (abs(x1) + -0.06654916)) + 4.710934) - abs(x1)"
14,0.99131435,"(5.810683 - abs(x1 + (x1 + -0.6549881))) + (0.15109016 / (x1 + -0.06917959))"
15,0.9710291,"(0.14372648 / (x1 + -0.06837108)) + exp(1.8161238 - abs((x1 + -0.34820554) / 1.7073202))"
16,0.9535392,"abs((0.118184716 / (x1 + -0.060472645)) + exp(1.8368226 - abs((x1 / 1.6781766) + -0.1882489)))"
17,0.9445815,"(exp(1.5905801 - abs((x1 + x0) + -0.35578358)) + (0.13847667 / (x1 + -0.070607714))) - -1.3676676"
18,0.93480057,"abs((exp(1.6253494 - abs(x1 + (x0 + -0.31138304))) + (0.10857014 / (x1 + -0.061671574))) - -1.2691401)"
19,0.93399143,"(0.1447735 / (x1 + -0.07317386)) + (exp(1.5795991 - abs(((x0 + x0) + x1) + -0.36882764)) - -1.420878)"
20,0.92672384,"abs(((0.1447735 / (x1 + -0.07231589)) + exp(1.5795991 - abs((x0 + x0) + (x1 + -0.36882764)))) - -1.420878)"
