Complexity,Loss,Equation
1,1.9268298,"5.8072085"
3,1.6211494,"5.387264 - x3"
5,1.5293406,"(x1 + 2.293602) * 2.4185858"
6,1.466794,"6.183908 - (x3 + abs(x3))"
7,1.2767332,"exp(1.9640074 - abs(x1 - 0.2885695))"
8,1.2736893,"exp(abs(1.9640074 - abs(x1 - 0.2885695)))"
9,1.1648026,"exp(2.0088048 - abs((x0 / x1) - x1))"
10,1.0667199,"exp(2.0088048 - abs(x1 - abs(x0 / x1)))"
12,0.9996365,"exp(2.0088089 - abs(x1 - abs(x0 / (x1 + x0))))"
14,0.9646046,"exp(1.8490492 - abs(x1 - abs(x0 / (x1 + -0.028271835)))) + 0.9129557"
15,0.9577943,"exp(2.0228105 - abs(x1 - abs(x0 / (abs(x1 + x0) + x0))))"
17,0.9359451,"exp(1.9260772 - abs(abs(x0 / (abs(x1 + x0) + x0)) - x1)) - -0.6114676"
18,0.93589395,"abs(exp(1.9265248 - abs(abs(x0 / (abs(x0 + x1) + x0)) - x1))) + 0.6174942"
19,0.93131316,"exp(1.9248322 - abs(abs(x0 / ((abs(x1 + x0) * 1.1610157) + x0)) - x1)) - -0.6109329"
20,0.9116916,"abs(-0.81917775 - exp(1.895681 - abs(abs(x0 / (x0 + abs(x1 + (x0 * 1.4111362)))) - x1)))"
