Complexity,Loss,Equation
1,1.5666351,"5.8773108"
3,1.4267597,"x3 + 6.7349977"
4,1.3704212,"6.7512403 - abs(x3)"
5,1.345565,"7.8111315 - exp(abs(x1))"
6,1.3455633,"abs(7.812171 - exp(abs(x1)))"
7,1.3312451,"6.381813 - (x3 * (x3 - -0.91224724))"
8,1.3149416,"6.4251437 - abs(x3 * (x3 - -1.0065026))"
9,1.3099024,"abs(6.4251437 - abs(x3 * (-1.0065026 - x3)))"
10,1.2822086,"6.807461 - (x1 + abs((x3 - -1.418688) * x3))"
11,1.2573919,"6.821071 - abs((abs(x3 - -1.4090487) * x3) - x1)"
12,1.2458829,"abs(abs((abs(x3 - -1.4090487) * x3) - x1) - 6.821071)"
14,1.233507,"abs(7.4533806 - (((x3 * (x3 + 2.7108967)) + 3.881629) * sqrt(abs(x1))))"
16,1.2211078,"abs((7.4963937 - x3) - ((((x3 + 1.9618701) * x3) + 4.307398) * sqrt(abs(x1))))"
18,1.1981108,"abs((3.1400452 - sqrt(abs((((x3 - x1) * (x3 + 2.765937)) + 3.7268898) * x1))) * 2.4192064)"
