Complexity,Loss,Equation
1,1.9194673,"5.994586"
3,1.6237261,"5.5678086 - x3"
5,1.5260253,"(x1 / 0.38376322) - -5.7194057"
6,1.4665045,"(6.312207 - x3) - abs(x3)"
7,1.4630691,"((x1 * x3) + 6.148382) - x3"
8,1.2902224,"sqrt(exp(4.0233374 - abs(x3 + 0.5291894)))"
9,1.2821999,"exp(exp(x1 + (x1 * x3))) * 2.1490407"
10,1.2493773,"sqrt(exp(3.9153771 - abs(x1 - (x0 / x1))))"
11,1.1911477,"sqrt(exp(3.8919415 - abs(x1 - abs(x0 / x1))))"
12,1.0591164,"sqrt(exp(3.9183805 - abs(x1 + ((0.118648104 / x1) - 0.8369973))))"
13,1.0561128,"abs(sqrt(exp(3.9030309 - abs((x1 + (0.11763477 / x1)) - 0.8333609))))"
14,1.0496666,"sqrt(exp(4.0185213 - abs(x1 + ((x0 / x1) + (x1 - 0.6588949)))))"
15,1.0373384,"sqrt(exp(3.9324427 - abs((0.2461602 - (x1 / 0.61044335)) + abs(x0 / x1))))"
16,1.0267967,"sqrt(abs(exp(4.0224013 - abs(x1 - abs((x0 / x1) - 0.23468193))) - 5.580533))"
17,0.9978537,"abs(exp(2.0111566 - abs((x1 - abs(x0 / x1)) + ((x0 / x1) - 0.11496878))))"
19,0.93769693,"sqrt(exp(3.9525096 - abs((((x0 / x1) - 0.32148886) + (x1 + x1)) - abs(x0 / x1))))"
