Complexity,Loss,Equation
1,1.9099612,"6.0554986"
3,1.6224856,"5.736344 - x3"
5,1.5211978,"5.902133 - (x1 * -2.780451)"
6,1.4647425,"(6.5384026 - x3) - abs(x3)"
7,1.2931101,"7.239408 / exp(abs(x1 - 0.28260496))"
9,1.2879375,"(x0 + 7.229076) / exp(abs(x1 - 0.28260496))"
10,1.280599,"(abs(x1) + 7.239408) / exp(abs(x1 - 0.28260496))"
12,1.2660334,"7.349446 - abs((x1 + ((x0 / 0.07917589) - x3)) - 1.329323)"
13,1.2494844,"7.3671236 - (abs(x0 / x3) + abs((x3 * 2.1891985) + 1.2292506))"
14,1.2279229,"7.3878255 - abs(((x3 + 1.3167075) + (x0 / (x0 - 0.20718314))) + x3)"
16,1.2129512,"abs((abs((x3 * 2.2450767) + 1.2514933) + abs(x0 / (x3 - x0))) - 7.373039)"
17,1.1960616,"abs(abs(((x3 + (x0 / (x0 - (x1 * -1.2853562)))) + x3) + 1.1201526) - 7.133012)"
18,1.1401503,"abs((abs(x0 / ((x1 / -0.5860032) - x0)) + abs((x3 + x3) + 1.1428035)) - 7.3072147)"
20,1.1303247,"abs(7.229076 - abs(-1.0462381 - ((x3 + x3) + abs((x0 / (x0 - (x1 * -1.7019644))) - x0))))"
