Complexity,Loss,Equation
1,1.5733685,"6.04422"
3,1.4023627,"x3 + 6.811725"
4,1.3483669,"6.852318 - abs(x3)"
5,1.3111359,"7.9082413 - exp(abs(x1))"
7,1.3032888,"7.86352 - (exp(abs(x1)) + x2)"
8,1.2712299,"(7.8129563 - exp(abs(x1))) * exp(x0)"
9,1.2712297,"abs((7.8153367 - exp(abs(x1))) * exp(x0))"
10,1.2584438,"exp(x0) * (7.867735 - exp(abs(x1 + x0)))"
11,1.2458749,"(6.9016166 - abs(x3 * (x3 - -1.3699763))) - abs(x1)"
12,1.2305721,"(7.08386 - (abs(x1 * (x3 - -1.6238506)) * 2.189984)) - x1"
13,1.2116166,"abs((7.1448383 - abs(((-1.660122 - x3) * 2.4591115) * x1)) - x1)"
14,1.2069527,"abs(abs(x1) - (7.06656 - abs((x1 * -2.129055) * (-1.5984389 - x3))))"
15,1.2043457,"abs(abs(7.144462 - abs((x3 - -1.6436844) * (x1 * 2.3894575))) - abs(x1))"
16,1.1997207,"abs((7.0756536 - abs((x1 * (x3 - (-1.7112378 - x2))) * 2.0147822)) - abs(x1))"
17,1.191434,"abs(abs(x1) - abs(7.3117456 - abs((x3 - -1.6156771) * ((x0 + x1) * 2.9843078))))"
18,1.1823609,"abs(abs(abs(((-1.7535043 - x3) * x1) * 2.8512592) - 7.0546412) - ((-0.8664227 - x3) * x1))"
20,1.1648719,"abs((((-1.3880143 - x3) * 1.8929883) * x1) - abs(7.150857 - abs((x1 * (-1.9855376 - x3)) * 3.2243729)))"
