Complexity,Loss,Equation
1,1.8711075,"6.529795"
3,1.5998782,"5.8726816 - x3"
4,1.599878,"abs(5.872679 - x3)"
5,1.4892502,"(x1 + 2.0888917) / 0.3486439"
6,1.4347587,"(6.6206174 - x3) - abs(x3)"
7,1.4080458,"exp(1.8621175 - abs(0.20941548 - x1))"
8,1.257063,"7.3650312 - abs((x3 + 0.5898104) / -0.45045924)"
9,1.2215635,"exp(2.046245 - abs((x0 + x1) - 0.32831612))"
11,1.1931627,"exp(1.8370706 - abs(x0 + (x1 - 0.28866747))) + 1.061072"
12,1.1929924,"exp(x2) + exp(1.8621175 - abs((0.29861143 - x1) - x0))"
13,1.0845673,"exp(1.6916678 - abs(((-0.07027723 / x1) + 0.62170815) - x1)) + 1.768285"
14,1.0835673,"abs(exp(1.7708154 - abs(((-0.08044841 / x1) - x1) + 0.67588466))) + 1.4048758"
15,1.0125831,"exp(1.810266 - abs((-0.04329633 / (x0 + x1)) + (0.3637104 - x1))) + 1.1886487"
17,1.0097034,"exp(1.8456706 - abs(0.40213436 + ((-0.062003523 / ((x0 - -0.028902937) + x1)) - x1))) + 1.1533812"
18,1.0064089,"(exp(1.8354707 - abs(((-0.044634227 / (x1 + x0)) + 0.36938486) - x1)) + 1.1059743) - abs(x0)"
20,0.99659073,"(exp(1.8456706 - abs((0.40213436 - x1) + (-0.062003523 / (x1 + (x0 - -0.028902937))))) + 1.023848) - abs(x0)"
